acc_x,acc_y,acc_z,v_dc,i_dc,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
2.6074464,1.9939296,8.742614399999999,0.573896484375,5.402183532714844e-05,5.02,-61.44,162.8,101.03,0.06,-0.99,0.14,-0.08,0.13,0.02
2.6074464,1.6871712,8.589235200000001,0.569072265625,5.512046813964844e-05,5.03,-61.43,162.81,101.04,0.06,-0.99,0.14,-0.08,0.13,0.02
2.4540672,1.8405504,8.5125456,0.556826171875,6.427574157714843e-05,5.04,-61.41,162.84,101.06,0.06,-0.99,0.14,-0.08,0.13,0.02
2.3773776,1.8405504,8.5125456,0.544580078125,6.061363220214844e-05,5.05,-61.41,163.0,101.06,0.06,-0.99,0.14,-0.08,0.13,0.02
2.3773776,1.6871712,8.589235200000001,0.53251953125,5.438804626464844e-05,5.06,-61.47,163.07,101.07,0.06,-0.99,0.14,-0.08,0.13,0.02
2.3006880000000005,1.9172400000000005,8.2824768,0.5254687499999999,4.559898376464844e-05,5.07,-61.54,163.12,101.12,0.06,-0.99,0.14,-0.08,0.13,0.02
2.3773776,1.8405504,8.819304,0.526396484375,3.827476501464844e-05,5.08,-61.65,163.13,101.19,0.06,-0.99,0.14,-0.08,0.13,0.02
2.4540672,1.9939296,8.6659248,0.5351171874999999,4.120445251464844e-05,5.09,-61.77,163.18,101.24,0.06,-0.99,0.14,-0.08,0.13,0.02
2.3773776,1.9172400000000005,8.6659248,0.54365234375,4.450035095214844e-05,5.1,-61.98,163.11,101.42,0.06,-0.99,0.15,-0.08,0.13,0.02
2.4540672,1.7638608000000002,8.5125456,0.5536718749999999,4.157066345214844e-05,5.11,-62.11,163.12,101.5,0.06,-0.99,0.15,-0.08,0.13,0.02
2.3006880000000005,1.9172400000000005,8.2824768,0.561279296875,5.438804626464844e-05,5.12,-62.21,163.14,101.62,0.06,-0.99,0.15,-0.08,0.13,0.02
2.5307568,1.9939296,8.2824768,0.5661035156249999,4.596519470214844e-05,5.13,-62.3,163.13,101.75,0.06,-0.99,0.15,-0.08,0.13,0.02
2.4540672,1.9172400000000005,8.5125456,0.57111328125,5.255699157714844e-05,5.14,-62.42,163.13,101.91,0.07,-0.99,0.15,-0.08,0.13,0.02
2.4540672,1.8405504,8.589235200000001,0.573525390625,4.669761657714844e-05,5.15,-62.83,163.1,102.08,0.06,-0.99,0.15,-0.08,0.13,0.02
