acc_x,acc_y,acc_z,v_dc,i_dc,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
2.4540672,0.5368272000000001,8.589235200000001,0.55998046875,6.108856201171875e-05,7.02,58.98,190.84,73.53,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.1473088,0.6135168,8.435856000000001,0.556640625,6.365203857421875e-05,7.03,59.050000000000004,190.72,73.55,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.4540672,0.766896,8.819304,0.5508886718749999,6.658172607421875e-05,7.04,59.11999999999999,190.62,73.55,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.4540672,0.3067584,8.589235200000001,0.54921875,6.328582763671875e-05,7.05,59.18999999999999,190.51,73.54,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.4540672,0.383448,8.589235200000001,0.54662109375,5.9623718261718746e-05,7.06,59.22999999999999,190.42,73.51,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.4540672,0.4601376,8.3591664,0.543837890625,6.365203857421875e-05,7.07,59.31,190.17,73.42,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.4540672,0.4601376,8.589235200000001,0.541611328125,6.255340576171875e-05,7.08,59.35,190.04,73.37,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.3773776,0.5368272000000001,8.589235200000001,0.5390136718749999,6.328582763671875e-05,7.09,59.37,189.94,73.31,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.4540672,0.4601376,8.589235200000001,0.53326171875,5.889129638671875e-05,7.1,59.39,189.83,73.23,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.3006880000000005,0.5368272000000001,8.742614399999999,0.528994140625,5.010223388671875e-05,7.11,59.4,189.74,73.13999999999999,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.3006880000000005,0.6902064,8.819304,0.527880859375,4.936981201171875e-05,7.12,59.4,189.6,73.04000000000002,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.3773776,0.6902064,8.589235200000001,0.528623046875,4.497528076171875e-05,7.13,59.38,189.55,73.02,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.3006880000000005,0.5368272000000001,8.435856000000001,0.531220703125,4.534149169921875e-05,7.14,59.330000000000005,189.52,72.99,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.4540672,0.4601376,8.435856000000001,0.531591796875,4.680633544921875e-05,7.15,59.28,189.46,72.97,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.6074464,0.6135168,8.6659248,0.5351171874999999,4.4609069824218746e-05,7.16,59.23,189.4,72.99,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.5307568,0.4601376,8.589235200000001,0.5390136718749999,4.167938232421875e-05,7.17,59.19,189.31,73.02,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.5307568,0.383448,8.742614399999999,0.543095703125,4.131317138671875e-05,7.18,59.17,189.24,73.03,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.5307568,0.383448,8.742614399999999,0.546806640625,4.497528076171875e-05,7.19,59.16,189.16,73.04,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.6841360000000005,0.4601376,8.6659248,0.5505175781249999,4.351043701171875e-05,7.2,59.16,189.08,73.05,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.6074464,0.6902064,8.6659248,0.5533007812499999,4.644012451171875e-05,7.21,59.15,188.98,73.05,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.5307568,0.6135168,8.6659248,0.55701171875,4.4609069824218746e-05,7.22,59.15,188.80000000000004,73.02,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.4540672,0.6135168,8.742614399999999,0.5614648437499999,4.644012451171875e-05,7.23,59.14,188.74,73.01,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.6074464,0.4601376,8.6659248,0.565732421875,4.790496826171875e-05,7.24,59.11,188.65,72.97,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.6074464,0.6135168,8.742614399999999,0.56962890625,4.534149169921875e-05,7.25,59.09,188.58,72.95,-0.08,-1.0,-0.05,0.02,-0.01,-0.04
2.6841360000000005,0.3067584,8.8959936,0.57333984375,5.010223388671875e-05,7.26,59.04,188.49,72.93,-0.08,-1.0,-0.05,0.02,-0.01,-0.04
2.6074464,0.3067584,8.819304,0.5751953125,5.010223388671875e-05,7.27,58.95,188.38,72.97,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.6841360000000005,0.383448,8.819304,0.568701171875,5.669403076171875e-05,7.28,58.89999999999999,188.38,72.97,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.6074464,0.383448,8.8959936,0.55404296875,6.072235107421875e-05,7.29,58.830000000000005,188.38,72.99,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.5307568,0.2300688,8.589235200000001,0.5336328124999999,5.9623718261718746e-05,7.3,58.77000000000001,188.43,73.0,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.6074464,0.383448,8.819304,0.53177734375,4.131317138671875e-05,7.31,58.71000000000001,188.51,73.0,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.8375152,0.3067584,8.742614399999999,0.5525585937499999,4.314422607421875e-05,7.32,58.66,188.57,72.96,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.6841360000000005,0.5368272000000001,8.589235200000001,0.56591796875,4.497528076171875e-05,7.33,58.55,188.7,72.97,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.6841360000000005,0.4601376,8.742614399999999,0.573525390625,4.680633544921875e-05,7.34,58.5,188.76,72.98,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.7608256,0.383448,8.5125456,0.569072265625,5.559539794921875e-05,7.35,58.5,188.84,73.0,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.6841360000000005,0.4601376,8.6659248,0.5521874999999999,6.072235107421875e-05,7.36,58.5,188.91,73.01,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.7608256,0.4601376,9.0493728,0.53177734375,5.815887451171875e-05,7.37,58.48,188.91,73.01,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.7608256,0.383448,8.6659248,0.53029296875,4.094696044921875e-05,7.38,58.46,188.85,72.98,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.6841360000000005,0.4601376,8.6659248,0.5514453125,4.351043701171875e-05,7.39,58.44,188.83,72.96,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.6074464,0.4601376,8.742614399999999,0.57037109375,4.680633544921875e-05,7.4,58.45,188.78,72.95,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.4540672,0.5368272000000001,8.6659248,0.5737109375,5.083465576171875e-05,7.41,58.44,188.74,72.94,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.6841360000000005,0.4601376,8.589235200000001,0.560537109375,6.584930419921875e-05,7.42,58.45,188.7,72.93,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.4540672,0.4601376,8.3591664,0.541982421875,5.815887451171875e-05,7.43,58.49,188.71,72.97,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.6841360000000005,0.5368272000000001,8.972683200000002,0.527880859375,4.790496826171875e-05,7.44,58.53,188.69,72.95,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.6074464,0.6135168,8.742614399999999,0.53326171875,4.277801513671875e-05,7.45,58.56,188.7,72.94,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.7608256,0.383448,8.819304,0.5529296874999999,4.277801513671875e-05,7.46,58.57,188.73,72.93,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.8375152,0.383448,8.819304,0.572041015625,4.4609069824218746e-05,7.47,58.56,188.74,72.9,-0.07999999999999911,-1.0,-0.05,0.02,-0.01,-0.04
2.7608256,0.4601376,8.819304,0.558310546875,6.072235107421875e-05,7.48,58.57,188.83,72.85,-0.08,-1.0,-0.05,0.02,-0.01,-0.04
2.7608256,0.6135168,8.8959936,0.533447265625,5.339813232421875e-05,7.49,58.55,188.91,72.78,-0.08,-1.0,-0.05,0.02,-0.01,-0.04
2.6841360000000005,0.5368272000000001,8.742614399999999,0.527138671875,4.241180419921875e-05,7.5,58.55,189.03,72.74,-0.08,-1.0,-0.05,0.02,-0.01,-0.04
2.8375152,0.5368272000000001,8.819304,0.543837890625,4.607391357421875e-05,7.51,58.51,189.13,72.73,-0.08,-1.0,-0.05,0.02,-0.01,-0.04
2.6074464,0.5368272000000001,8.589235200000001,0.55998046875,4.680633544921875e-05,7.52,58.51,189.24,72.73,-0.08,-1.0,-0.05,0.02,-0.01,-0.04
2.6841360000000005,0.5368272000000001,8.589235200000001,0.575009765625,4.863739013671875e-05,7.53,58.53,189.4,72.7,-0.07999999999999911,-1.0,-0.05,0.02,-0.01,-0.04
2.4540672,0.6135168,8.589235200000001,0.54810546875,6.182098388671875e-05,7.54,58.55,189.45,72.68,-0.0700000000000009,-1.0,-0.05,0.02,-0.01,-0.04
2.4540672,0.383448,8.8959936,0.528251953125,5.303192138671875e-05,7.55,58.55,189.48,72.63,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.4540672,0.6902064,8.819304,0.531591796875,4.570770263671875e-05,7.56,58.57,189.51,72.59,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.4540672,0.4601376,8.589235200000001,0.54662109375,4.570770263671875e-05,7.57,58.56,189.53,72.55,-0.07,-1.0,-0.05,0.02,-0.01,-0.04
2.4540672,0.6135168,8.6659248,0.560537109375,4.277801513671875e-05,7.58,58.5,189.49,72.53,-0.07,-1.0,-0.04,0.02,-0.01,-0.04
2.4540672,0.766896,8.589235200000001,0.573896484375,4.717254638671875e-05,7.59,58.47,189.47,72.5,-0.07,-1.0,-0.04,0.02,-0.01,-0.04
2.4540672,0.6135168,8.972683200000002,0.5536718749999999,6.365203857421875e-05,7.6,58.43,189.49,72.48,-0.07,-1.0,-0.04,0.02,-0.01,-0.04
2.4540672,0.766896,8.5125456,0.5284375,4.717254638671875e-05,7.61,58.37,189.48,72.43,-0.07,-1.0,-0.04,0.02,-0.01,-0.04
2.6841360000000005,0.4601376,8.742614399999999,0.530849609375,4.534149169921875e-05,7.62,58.33,189.52,72.41,-0.07,-1.0,-0.04,0.02,-0.01,-0.04
2.7608256,0.3067584,9.0493728,0.54291015625,4.314422607421875e-05,7.63,58.28000000000001,189.54,72.38,-0.07,-1.0,-0.04,0.02,-0.01,-0.04
2.6841360000000005,0.5368272000000001,8.819304,0.55701171875,4.167938232421875e-05,7.64,58.13000000000002,189.56,72.44,-0.07,-1.0,-0.04,0.02,-0.01,-0.04
2.6074464,0.383448,8.6659248,0.56888671875,4.4242858886718746e-05,7.65,58.09,189.57,72.48,-0.07,-1.0,-0.04,0.02,-0.01,-0.04
2.6841360000000005,0.383448,8.6659248,0.572041015625,5.120086669921875e-05,7.66,58.04,189.55,72.54,-0.07,-1.0,-0.04,0.02,-0.01,-0.04
2.4540672,0.5368272000000001,8.5125456,0.537900390625,5.706024169921875e-05,7.67,57.99,189.5,72.55,-0.07,-1.0,-0.04,0.02,-0.01,-0.04
2.4540672,0.0,8.6659248,0.534189453125,6.255340576171875e-05,7.68,57.94,189.43,72.56,-0.07,-1.0,-0.04,0.02,-0.01,-0.04
2.8375152,0.2300688,8.819304,0.54513671875,4.717254638671875e-05,7.69,57.839999999999996,189.3,72.51,-0.07,-1.0,-0.04,0.02,-0.01,-0.04
2.7608256,0.3067584,8.819304,0.559794921875,4.534149169921875e-05,7.7,57.790000000000006,189.28,72.47,-0.07,-1.0,-0.04,0.02,-0.01,-0.04
2.6074464,0.5368272000000001,8.819304,0.571298828125,4.534149169921875e-05,7.71,57.76,189.29,72.46,-0.07,-1.0,-0.04,0.02,-0.01,-0.04
2.6074464,0.5368272000000001,8.819304,0.571669921875,5.632781982421875e-05,7.72,57.72,189.29,72.42,-0.07,-1.0,-0.04,0.02,-0.01,-0.04
2.4540672,0.4601376,8.5125456,0.5397558593749999,5.925750732421875e-05,7.73,57.67,189.27,72.38,-0.07,-1.0,-0.04,0.02,-0.01,-0.04
2.6841360000000005,0.2300688,8.6659248,0.53177734375,4.497528076171875e-05,7.74,57.54,189.21,72.38,-0.07,-1.0,-0.04,0.02,-0.01,-0.03
2.4540672,0.6902064,8.742614399999999,0.5486621093749999,4.607391357421875e-05,7.75,57.47,189.16,72.39,-0.07,-1.0,-0.04,0.02,-0.01,-0.03
2.5307568,0.5368272000000001,8.6659248,0.561650390625,5.083465576171875e-05,7.76,57.42,189.11,72.41,-0.07,-1.0,-0.04,0.02,-0.01,-0.03
2.6074464,0.4601376,8.6659248,0.570556640625,4.827117919921875e-05,7.77,57.37,189.08,72.46,-0.07,-1.0,-0.04,0.02,-0.01,-0.03
2.5307568,0.5368272000000001,8.6659248,0.57556640625,5.156707763671875e-05,7.78,57.33,189.04,72.51,-0.07,-1.0,-0.04,0.02,-0.01,-0.03
2.6074464,0.6135168,8.5125456,0.562763671875,6.365203857421875e-05,7.79,57.3,188.96,72.53,-0.07,-1.0,-0.04,0.02,-0.01,-0.03
