acc_x,acc_y,acc_z,v_dc,i_dc,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
2.2239984,3.2976528,7.899028800000001,0.48390625,6.128311157226564e-06,10.02,108.08,189.61,88.38,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
2.2239984,3.3743424,7.9757184,0.473701171875,7.593154907226562e-06,10.03,107.91,189.56,88.37,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
2.1473088,3.2976528,8.1290976,0.47833984375,6.860733032226565e-06,10.04,107.64000000000004,189.47000000000003,88.37,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
2.0706192,3.3743424,8.052408,0.4861328124999999,6.494522094726565e-06,10.05,107.54,189.42,88.37,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
2.0706192,3.451032,8.052408,0.4935546875,6.860733032226565e-06,10.06,107.43,189.36,88.41,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
2.1473088,3.5277216000000005,7.899028800000001,0.501162109375,7.593154907226562e-06,10.07,107.33,189.33,88.45,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
2.1473088,3.3743424,8.205787200000001,0.512666015625,7.593154907226562e-06,10.08,107.23,189.32,88.45,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
2.0706192,3.3743424,7.899028800000001,0.5232421875,6.860733032226565e-06,10.09,107.03,189.3,88.35,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
1.9939296,3.3743424,7.7456496,0.5369726562499999,6.494522094726565e-06,10.1,106.95,189.32,88.28,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
1.9939296,3.2976528,8.1290976,0.54810546875,7.593154907226562e-06,10.11,106.89,189.35,88.15,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
1.6871712,3.2976528,8.1290976,0.5636914062499999,6.128311157226564e-06,10.12,106.84000000000002,189.4,88.07000000000001,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
1.6871712,3.2976528,8.205787200000001,0.57705078125,6.494522094726565e-06,10.13,106.79,189.47,87.96,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
2.0706192,3.3743424,8.1290976,0.5904101562499999,5.762100219726564e-06,10.14,106.68,189.53,87.87,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
1.8405504,3.2209632,8.205787200000001,0.5826171875,7.593154907226562e-06,10.15,106.65,189.59,87.92,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
1.9939296,3.3743424,8.205787200000001,0.5306640625,7.226943969726565e-06,10.16,106.65,189.65,87.96,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
1.8405504,3.5277216000000005,7.899028800000001,0.47759765625,6.128311157226564e-06,10.17,106.64,189.67,87.99,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
1.8405504,3.3743424,8.1290976,0.4759277343749999,5.395889282226564e-06,10.18,106.66,189.72,88.03,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
1.9172400000000005,3.451032,8.2824768,0.485205078125,5.762100219726564e-06,10.19,106.73,189.78,88.08,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
2.1473088,3.3743424,7.8223392,0.497080078125,5.762100219726564e-06,10.2,106.77999999999999,189.77,88.07,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
1.8405504,3.6811008,8.052408,0.509326171875,5.395889282226564e-06,10.21,106.84,189.77,88.01,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
2.0706192,3.5277216000000005,8.205787200000001,0.5197167968749999,6.128311157226564e-06,10.22,106.9,189.77,87.96,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
1.8405504,3.2209632,8.052408,0.533818359375,5.762100219726564e-06,10.23,106.96,189.77,87.88,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
1.6871712,3.6044112,7.8223392,0.54958984375,1.4917373657226564e-05,10.24,107.14,189.83,87.69,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
1.9939296,3.2976528,8.205787200000001,0.5648046874999999,7.959365844726563e-06,10.25,107.27,189.9,87.58,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
1.7638608000000002,3.451032,8.2824768,0.5800195312499999,7.226943969726565e-06,10.26,107.4,190.02,87.53,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
1.9172400000000005,3.3743424,8.205787200000001,0.590966796875,7.226943969726565e-06,10.27,107.56,190.13,87.51,-0.17,-0.98,0.05,-0.03,-0.05,-0.08
