acc_x,acc_y,acc_z,v_dc,i_dc,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
0.9202752,3.2209632,8.435856000000001,0.5351171874999999,6.803512573242188e-06,6.02,152.54,186.05,84.47,-0.09,-0.99,0.09,-0.05,-0.06,-0.04
0.9202752,3.067584,8.5125456,0.5475488281249999,6.437301635742188e-06,6.03,152.58,186.06,84.58000000000001,-0.09,-0.99,0.09,-0.05,-0.06,-0.04
0.9202752,2.9142048000000003,8.5125456,0.556640625,6.437301635742188e-06,6.04,152.64,186.08,84.67000000000002,-0.09,-0.99,0.09,-0.05,-0.06,-0.04
0.8435856,3.067584,8.742614399999999,0.569072265625,5.3386688232421865e-06,6.05,152.67,186.08,84.79000000000002,-0.08999999999999911,-0.99,0.09,-0.05,-0.06,-0.04
0.9969648,3.1442736000000004,8.435856000000001,0.5815039062499999,7.169723510742188e-06,6.06,152.65,186.0,84.97,-0.08,-0.99,0.09,-0.05,-0.06,-0.04
0.8435856,2.9908944,8.589235200000001,0.591337890625,7.169723510742188e-06,6.07,152.61,185.94,84.97,-0.08,-0.99,0.09,-0.05,-0.06,-0.04
1.0736544,2.9908944,8.819304,0.5644335937499999,6.071090698242187e-06,6.08,152.63,185.87,84.93,-0.08,-0.99,0.09,-0.05,-0.06,-0.04
0.8435856,2.7608256,8.435856000000001,0.51619140625,4.972457885742186e-06,6.09,152.63,185.81,84.91,-0.08,-0.99,0.09,-0.05,-0.06,-0.04
0.9969648,2.7608256,8.435856000000001,0.4766699218749999,4.972457885742186e-06,6.1,152.64,185.78,84.85,-0.09,-0.99,0.09,-0.05,-0.06,-0.04
0.6902064,2.9142048000000003,8.6659248,0.47388671875,5.3386688232421865e-06,6.11,152.66,185.67,84.88000000000001,-0.09,-0.99,0.09,-0.05,-0.06,-0.04
0.8435856,2.9142048000000003,8.5125456,0.4814941406249999,7.5359344482421885e-06,6.12,152.73,185.6,84.97,-0.09,-0.99,0.09,-0.05,-0.06,-0.04
0.8435856,3.1442736000000004,8.3591664,0.4876171875,6.071090698242187e-06,6.13,152.85,185.53,84.98,-0.09,-0.99,0.09,-0.05,-0.06,-0.04
1.0736544,2.8375152,8.5125456,0.496708984375,5.3386688232421865e-06,6.14,152.96,185.45,84.98,-0.09,-0.99,0.09,-0.05,-0.06,-0.04
0.766896,2.9908944,8.3591664,0.505986328125,4.972457885742186e-06,6.15,153.03000000000003,185.35999999999999,85.01,-0.09,-0.99,0.09,-0.05,-0.06,-0.04
0.6135168,2.8375152,8.2824768,0.51841796875,4.606246948242186e-06,6.16,153.2,185.21,85.0,-0.09,-0.99,0.09,-0.05,-0.06,-0.04
0.766896,2.9142048000000003,8.6659248,0.531220703125,6.071090698242187e-06,6.17,153.24,185.1,85.03,-0.09,-0.99,0.09,-0.05,-0.06,-0.04
0.6902064,2.9142048000000003,8.5125456,0.544208984375,5.704879760742187e-06,6.18,153.32,185.06,85.02,-0.09,-0.99,0.08,-0.04,-0.06,-0.04
