acc_x,acc_y,acc_z,v_dc,i_dc,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
2.2239984,3.2209632,8.1290976,0.564990234375,1.57012939453125e-05,7.02,-78.04,197.17,96.51,-0.09,-0.99,0.12,-0.06,0.09,-0.05
2.0706192,3.3743424,8.205787200000001,0.532705078125,7.278442382812498e-06,7.03,-77.98,197.05,96.59,-0.09,-0.99,0.12,-0.06,0.09,-0.05
1.9939296,2.8375152,8.052408,0.48873046875,1.3137817382812496e-05,7.04,-77.91,196.97,96.63,-0.09,-0.99,0.12,-0.06,0.09,-0.05
1.9939296,3.3743424,7.9757184,0.54216796875,1.1306762695312498e-05,7.05,-77.85,196.9,96.69,-0.09,-0.99,0.12,-0.06,0.09,-0.05
2.0706192,3.3743424,8.052408,0.5776074218749999,8.743286132812496e-06,7.06,-77.75000000000001,196.77,96.76,-0.09,-0.99,0.12,-0.06,0.09,-0.05
1.9172400000000005,3.451032,7.8223392,0.47759765625,5.081176757812496e-06,7.07,-77.69,196.62,96.82,-0.09,-0.99,0.12,-0.06,0.09,-0.05
2.1473088,3.3743424,7.592270399999999,0.514892578125,1.3504028320312497e-05,7.08,-77.56,196.22,96.88,-0.09,-0.99,0.12,-0.06,0.09,-0.05
2.0706192,3.1442736000000004,7.8223392,0.57111328125,1.3137817382812496e-05,7.09,-77.49,195.99,96.85,-0.09,-0.99,0.12,-0.06,0.09,-0.05
2.1473088,3.3743424,8.052408,0.52732421875,7.644653320312498e-06,7.1,-77.44,195.8,96.84,-0.09,-0.99,0.12,-0.06,0.09,-0.05
2.3773776,3.2976528,7.8223392,0.4857617187499999,6.179809570312497e-06,7.11,-77.35999999999999,195.59999999999997,96.79999999999998,-0.09,-0.99,0.12,-0.06,0.09,-0.05
2.3773776,3.3743424,8.1290976,0.531220703125,1.2405395507812496e-05,7.12,-77.27000000000001,195.42000000000002,96.70000000000002,-0.09,-0.99,0.12,-0.06,0.09,-0.05
2.3773776,3.5277216000000005,8.205787200000001,0.585029296875,1.4968872070312496e-05,7.13,-77.2,195.21000000000004,96.63,-0.09,-0.99,0.12,-0.06,0.09,-0.05
2.3773776,3.7577904,8.5125456,0.500419921875,6.179809570312497e-06,7.14,-77.02000000000001,194.82000000000002,96.54000000000002,-0.09,-0.99,0.12,-0.06,0.09,-0.05
2.1473088,3.6811008,8.052408,0.4935546875,6.912231445312498e-06,7.15,-76.9,194.65,96.56,-0.09,-0.99,0.12,-0.05,0.09,-0.05
2.0706192,3.3743424,8.052408,0.53994140625,1.2405395507812496e-05,7.16,-76.78,194.48,96.62,-0.09,-0.99,0.12,-0.05,0.09,-0.05
1.9172400000000005,3.6044112,8.1290976,0.58669921875,1.20391845703125e-05,7.17,-76.67,194.28,96.73,-0.09,-0.99,0.12,-0.05,0.09,-0.05
2.1473088,3.3743424,7.899028800000001,0.4905859374999999,6.546020507812497e-06,7.18,-76.59,194.06,96.82,-0.09,-0.99,0.12,-0.05,0.09,-0.05
2.3773776,3.2209632,8.052408,0.496708984375,6.546020507812497e-06,7.19,-76.42,193.68999999999997,96.92,-0.09,-0.99,0.12,-0.05,0.09,-0.05
2.3773776,3.5277216000000005,8.052408,0.541611328125,1.3137817382812496e-05,7.2,-76.34,193.50000000000003,96.92,-0.09,-0.99,0.12,-0.05,0.09,-0.05
2.4540672,3.2976528,8.205787200000001,0.586142578125,1.4236450195312496e-05,7.21,-76.31,193.35,96.89,-0.09999999999999912,-0.99,0.12,-0.05,0.09,-0.05
2.4540672,3.3743424,8.205787200000001,0.4916992187499999,6.546020507812497e-06,7.22,-76.32,193.25,96.9,-0.1,-0.99,0.12,-0.05999999999999911,0.09,-0.05
2.2239984,3.5277216000000005,8.052408,0.4965234374999999,7.278442382812498e-06,7.23,-76.32,193.15,96.94,-0.1,-0.99,0.12,-0.06,0.09,-0.05
2.0706192,3.3743424,8.1290976,0.54513671875,1.0574340820312498e-05,7.24,-76.33,193.05,97.05,-0.1,-0.99,0.12,-0.06,0.09,-0.05
2.1473088,3.3743424,8.1290976,0.584658203125,1.3504028320312497e-05,7.25,-76.32,192.93,97.13,-0.1,-0.99,0.12,-0.06,0.09,-0.05
1.9172400000000005,3.3743424,8.052408,0.48353515625,8.010864257812499e-06,7.26,-76.39,192.88,97.13,-0.1,-0.99,0.12,-0.06,0.09,-0.05
1.9172400000000005,3.6044112,8.052408,0.500791015625,1.0940551757812498e-05,7.27,-76.47,192.85,97.16,-0.1,-0.99,0.12,-0.06,0.09,-0.05
2.0706192,3.2976528,7.899028800000001,0.5494042968749999,1.3504028320312497e-05,7.28,-76.55000000000001,192.86,97.21,-0.1,-0.99,0.12,-0.05000000000000089,0.09,-0.05
1.9939296,3.3743424,8.052408,0.579833984375,1.0574340820312498e-05,7.29,-76.74999999999999,192.81,97.22,-0.1,-0.99,0.12,-0.05999999999999911,0.09,-0.05
2.1473088,3.1442736000000004,7.9757184,0.478896484375,6.179809570312497e-06,7.3,-76.82999999999998,192.77,97.23,-0.1,-0.99,0.12,-0.06,0.09,-0.05999999999999911
2.3773776,3.2976528,8.052408,0.50505859375,8.743286132812496e-06,7.31,-76.88,192.76,97.25,-0.1,-0.99,0.12,-0.06,0.09,-0.06
2.2239984,3.2209632,7.8223392,0.556826171875,1.2771606445312496e-05,7.32,-76.91,192.77,97.28,-0.1,-0.99,0.12,-0.06,0.09,-0.06
1.9939296,3.451032,8.2824768,0.564990234375,8.377075195312496e-06,7.33,-76.95,192.81,97.3,-0.1,-0.99,0.12,-0.06,0.09,-0.06
2.0706192,3.6044112,7.899028800000001,0.4781542968749999,7.644653320312498e-06,7.34,-77.05,192.97,97.38,-0.1,-0.99,0.12,-0.06,0.09,-0.06
2.0706192,3.3743424,8.052408,0.51396484375,1.4968872070312496e-05,7.35,-77.13,193.07,97.42,-0.1,-0.99,0.12,-0.06,0.09,-0.06
1.8405504,3.3743424,7.7456496,0.56814453125,1.20391845703125e-05,7.36,-77.23000000000002,193.23,97.45,-0.1,-0.99,0.12,-0.06,0.09,-0.06
1.9939296,3.2209632,7.8223392,0.5380859375,6.179809570312497e-06,7.37,-77.31999999999998,193.35,97.44,-0.1,-0.99,0.12,-0.06,0.09,-0.06
2.0706192,3.3743424,8.052408,0.48390625,7.644653320312498e-06,7.38,-77.38,193.46,97.39,-0.1,-0.99,0.12,-0.06,0.09,-0.06
2.2239984,3.1442736000000004,7.9757184,0.526396484375,1.53350830078125e-05,7.39,-77.46999999999998,193.58,97.33,-0.1,-0.99,0.12,-0.06,0.09,-0.06
2.3006880000000005,3.2976528,8.1290976,0.58447265625,1.16729736328125e-05,7.4,-77.65,193.73,97.21,-0.1,-0.99,0.12,-0.06,0.09,-0.06
2.3006880000000005,3.451032,8.1290976,0.502646484375,7.644653320312498e-06,7.41,-77.76,193.81,97.21,-0.1,-0.99,0.12,-0.06,0.09,-0.06
2.0706192,3.451032,7.668960000000001,0.4965234374999999,7.644653320312498e-06,7.42,-77.85,193.87,97.14,-0.1,-0.99,0.12,-0.06,0.09,-0.06
2.0706192,3.3743424,8.052408,0.54884765625,9.841918945312495e-06,7.43,-77.93,193.92,97.14,-0.1,-0.99,0.12,-0.06,0.09,-0.06
1.8405504,3.451032,7.9757184,0.569072265625,6.912231445312498e-06,7.44,-78.06,193.98,96.99,-0.1,-0.99,0.12,-0.06,0.09,-0.06
2.1473088,3.451032,7.899028800000001,0.4774121093749999,5.447387695312496e-06,7.45,-78.13,194.03,97.0,-0.1,-0.99,0.12,-0.06,0.09,-0.06
