acc_x,acc_y,acc_z,v_dc,i_dc,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
0.9202752,3.5277216000000005,7.9757184,0.54587890625,6.723403930664063e-06,7.02,167.96,183.99,93.07,-0.08,-0.99,0.12,-0.06,-0.07,-0.04
0.8435856,3.451032,7.9757184,0.51099609375,6.357192993164063e-06,7.03,167.84999999999997,183.89999999999998,93.11,-0.08,-0.99,0.12,-0.06,-0.07,-0.04
0.766896,3.3743424,8.435856000000001,0.4816796875,1.8075942993164063e-05,7.04,167.64,183.68,93.08,-0.08,-0.99,0.12,-0.06,-0.07,-0.04
0.9969648,3.5277216000000005,7.9757184,0.543466796875,4.8923492431640616e-06,7.05,167.63,183.6,93.05,-0.08000000000000089,-0.99,0.12,-0.06,-0.07,-0.04
0.9202752,3.3743424,8.1290976,0.574267578125,3.427505493164064e-06,7.06,167.58,183.51,92.97,-0.08999999999999911,-0.99,0.12,-0.06,-0.07,-0.04
1.1503440000000005,3.2976528,8.205787200000001,0.537900390625,4.159927368164061e-06,7.07,167.57,183.44,92.93,-0.09,-0.99,0.12,-0.06,-0.07,-0.04
0.9969648,3.5277216000000005,8.3591664,0.501533203125,4.159927368164061e-06,7.08,167.59,183.4,92.93,-0.09,-0.99,0.12,-0.06,-0.07,-0.04
0.9202752,3.3743424,8.435856000000001,0.474814453125,5.258560180664062e-06,7.09,167.67,183.4,93.04,-0.09,-0.99,0.12,-0.06,-0.07,-0.04
0.9202752,3.6044112,8.435856000000001,0.590966796875,5.624771118164062e-06,7.1,167.69,183.42,93.08,-0.09,-0.99,0.12,-0.06,-0.07,-0.04
0.9202752,3.5277216000000005,8.2824768,0.556083984375,4.8923492431640616e-06,7.11,167.7,183.42,93.14000000000001,-0.09,-0.99,0.12,-0.06,-0.07,-0.04
0.766896,3.6044112,8.3591664,0.51916015625,4.159927368164061e-06,7.12,167.67,183.42,93.23,-0.09,-0.99,0.12,-0.06,-0.07,-0.04
0.766896,3.6044112,8.2824768,0.488173828125,3.793716430664061e-06,7.13,167.66,183.42,93.3,-0.09,-0.99,0.12,-0.06,-0.07,-0.04
0.8435856,3.6044112,8.2824768,0.498193359375,4.526138305664061e-06,7.14,167.72,183.33,93.33,-0.09,-0.99,0.12,-0.06,-0.07,-0.04
0.766896,3.3743424,7.9757184,0.58298828125,5.258560180664062e-06,7.15,167.78,183.25,93.28,-0.09,-0.99,0.12,-0.06,-0.07,-0.04
0.8435856,3.2976528,8.2824768,0.54810546875,5.990982055664063e-06,7.16,167.85,183.17,93.24,-0.09,-0.99,0.12,-0.06,-0.07,-0.04
1.0736544,3.3743424,8.052408,0.5111816406249999,6.357192993164063e-06,7.17,167.92,183.09,93.21,-0.09,-0.99,0.12,-0.06,-0.07,-0.04
0.9202752,3.5277216000000005,8.205787200000001,0.4809374999999999,6.723403930664063e-06,7.18,168.03,183.01,93.19,-0.08,-0.99,0.12,-0.06,-0.07,-0.04
1.1503440000000005,3.3743424,8.5125456,0.5533007812499999,5.258560180664062e-06,7.19,168.33000000000004,182.9,93.16,-0.08,-0.99,0.12,-0.06,-0.07,-0.04
0.9202752,3.3743424,8.205787200000001,0.57185546875,5.258560180664062e-06,7.2,168.49000000000004,182.88,93.19,-0.08,-0.99,0.12,-0.06,-0.07,-0.04
0.8435856,3.451032,8.435856000000001,0.528623046875,5.624771118164062e-06,7.21,168.66,182.91,93.2,-0.08,-0.99,0.12,-0.06,-0.07,-0.04
0.6902064,3.6044112,8.1290976,0.4954101562499999,5.990982055664063e-06,7.22,168.8,182.96,93.2,-0.08,-0.99,0.12,-0.06,-0.07,-0.04
0.9202752,3.6811008,8.1290976,0.4755566406249999,5.258560180664062e-06,7.23,168.95,183.04,93.21,-0.08,-0.99,0.12,-0.06,-0.07,-0.04
0.766896,3.6044112,8.052408,0.5892968749999999,5.258560180664062e-06,7.24,169.26,183.3,93.41,-0.08,-0.99,0.12,-0.06,-0.07,-0.04
0.9202752,3.7577904,8.2824768,0.5536718749999999,6.723403930664063e-06,7.25,169.43,183.41,93.52,-0.08,-0.99,0.12,-0.06,-0.07,-0.04
0.766896,3.6044112,8.2824768,0.516376953125,5.624771118164062e-06,7.26,169.58,183.47,93.65,-0.08,-0.99,0.12,-0.06,-0.07,-0.04
1.1503440000000005,3.5277216000000005,8.3591664,0.4818652343749999,5.258560180664062e-06,7.27,169.76,183.49,93.64,-0.08,-0.99,0.12,-0.06,-0.07,-0.04
0.9969648,3.451032,8.5125456,0.545693359375,6.357192993164063e-06,7.28,169.93000000000004,183.54000000000002,93.61999999999999,-0.09,-0.99,0.12,-0.06,-0.07,-0.04
0.9202752,3.3743424,8.435856000000001,0.56591796875,5.624771118164062e-06,7.29,170.38000000000002,183.8,93.49999999999999,-0.09,-0.99,0.12,-0.06,-0.07,-0.04
0.9202752,3.5277216000000005,8.3591664,0.5254687499999999,5.624771118164062e-06,7.3,170.60000000000002,183.93000000000004,93.4,-0.09,-0.99,0.12,-0.06,-0.07,-0.04
0.8435856,3.6044112,8.205787200000001,0.488359375,5.258560180664062e-06,7.31,170.90999999999997,184.09999999999997,93.33,-0.09,-0.99,0.12,-0.06,-0.07,-0.04
0.8435856,3.5277216000000005,8.2824768,0.5091406249999999,5.258560180664062e-06,7.32,171.17,184.25,93.4,-0.08,-0.99,0.12,-0.06,-0.07,-0.04
