acc_x,acc_y,acc_z,v_dc,i_dc,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
1.533792,3.3743424,8.589235200000001,0.5200878906249999,6.694793701171878e-06,7.02,153.96,167.79,88.74,-0.09,-0.99,0.1,-0.05,-0.05,-0.04
1.533792,3.067584,8.1290976,0.4811230468749999,7.793426513671879e-06,7.03,153.93,167.72,88.82000000000001,-0.09,-0.99,0.1,-0.05,-0.05,-0.04
1.7638608000000002,3.2209632,8.205787200000001,0.55923828125,1.0723114013671878e-05,7.04,153.84,167.57,88.95,-0.09,-0.99,0.1,-0.05,-0.05,-0.04
1.4571024,3.2976528,8.435856000000001,0.568330078125,5.229949951171877e-06,7.05,153.8,167.47,89.0,-0.09,-0.99,0.1,-0.05,-0.05,-0.04
1.533792,3.1442736000000004,8.435856000000001,0.531962890625,6.694793701171878e-06,7.06,153.75,167.42,89.03,-0.09,-0.99,0.1,-0.05,-0.05,-0.04
1.4571024,3.2976528,8.1290976,0.4948535156249999,5.229949951171877e-06,7.07,153.71,167.37,88.99,-0.09,-0.99,0.1,-0.05,-0.05,-0.04
1.2270336,3.3743424,8.052408,0.479267578125,6.694793701171878e-06,7.08,153.68,167.32,88.92,-0.09,-0.99,0.1,-0.05,-0.05,-0.04
1.533792,3.067584,8.1290976,0.5855859375,4.863739013671876e-06,7.09,153.74,167.21,88.83,-0.09,-0.99,0.1,-0.05,-0.05,-0.04
1.1503440000000005,3.1442736000000004,8.205787200000001,0.5499609375,7.061004638671878e-06,7.1,153.77,167.14,88.84,-0.09,-0.99,0.1,-0.05,-0.05,-0.04
1.3037232,3.2209632,8.2824768,0.508583984375,5.962371826171877e-06,7.11,153.79,167.03,88.86,-0.09,-0.99,0.1,-0.05,-0.05,-0.04
1.3037232,3.2209632,8.1290976,0.4777832031249999,7.061004638671878e-06,7.12,153.85,166.93,88.9,-0.09,-0.99,0.1,-0.05,-0.05,-0.04
1.3037232,3.1442736000000004,8.052408,0.572041015625,7.061004638671878e-06,7.13,153.92,166.79,88.89,-0.09,-0.99,0.1,-0.05,-0.05,-0.04
1.4571024,3.451032,8.052408,0.5672167968749999,7.061004638671878e-06,7.14,154.01,166.69,88.87,-0.09,-0.99,0.1,-0.05,-0.05,-0.04
1.3804128,3.3743424,8.205787200000001,0.528994140625,6.694793701171878e-06,7.15,154.01,166.52,88.83,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.6871712,3.3743424,8.205787200000001,0.4942968749999999,5.596160888671877e-06,7.16,154.06,166.5,88.82,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.533792,3.2976528,8.435856000000001,0.486689453125,6.328582763671878e-06,7.17,154.1,166.52,88.85,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.6104816,3.1442736000000004,8.435856000000001,0.5826171875,5.962371826171877e-06,7.18,154.19,166.5,88.97,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.3037232,3.2209632,8.2824768,0.54513671875,6.694793701171878e-06,7.19,154.28000000000003,166.39999999999998,89.11000000000003,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.3804128,3.451032,8.1290976,0.504501953125,6.694793701171878e-06,7.2,154.5,166.16,89.36,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.0736544,3.2976528,8.052408,0.474443359375,5.229949951171877e-06,7.21,154.65,166.04,89.42,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.0736544,3.3743424,7.9757184,0.5878125,5.962371826171877e-06,7.22,154.8,165.96,89.43,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
0.9969648,3.2209632,7.8223392,0.560908203125,5.962371826171877e-06,7.23,154.95,165.94,89.48,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.2270336,3.1442736000000004,8.1290976,0.52361328125,5.962371826171877e-06,7.24,155.05,165.93,89.49,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.4571024,3.3743424,8.205787200000001,0.491513671875,6.328582763671878e-06,7.25,155.2,165.89,89.48,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.4571024,3.2976528,8.3591664,0.4894726562499999,6.328582763671878e-06,7.26,155.36,165.92,89.48,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.4571024,3.2209632,8.435856000000001,0.583544921875,6.328582763671878e-06,7.27,155.5,165.95,89.48,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.3804128,3.2976528,8.1290976,0.54328125,5.962371826171877e-06,7.28,155.63,166.0,89.51,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.3037232,3.2209632,8.052408,0.5054296875,5.229949951171877e-06,7.29,155.79000000000002,166.06,89.57000000000001,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.1503440000000005,3.2976528,8.205787200000001,0.47240234375,5.962371826171877e-06,7.3,156.0,166.11,89.67000000000002,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.2270336,3.2976528,8.1290976,0.591708984375,6.328582763671878e-06,7.31,156.1,166.13,89.75999999999999,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.3037232,3.2976528,7.9757184,0.556640625,6.328582763671878e-06,7.32,156.25,166.15,89.89,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.3037232,3.2976528,8.2824768,0.517861328125,5.229949951171877e-06,7.33,156.4,166.16,89.95,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.3804128,3.451032,8.5125456,0.48353515625,7.061004638671878e-06,7.34,156.51,166.16,89.94,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.3804128,3.3743424,8.5125456,0.530849609375,4.863739013671876e-06,7.35,156.74,166.14,89.98,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.3804128,3.3743424,8.5125456,0.56703125,6.328582763671878e-06,7.36,156.85,166.1,90.0,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.6871712,3.2976528,8.3591664,0.526396484375,4.863739013671876e-06,7.37,156.97,166.08,90.05,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.533792,3.2209632,8.3591664,0.4913281249999999,5.962371826171877e-06,7.38,157.06,166.07,90.1,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.4571024,3.5277216000000005,8.435856000000001,0.49837890625,5.962371826171877e-06,7.39,157.19,166.03,90.05,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.1503440000000005,3.451032,8.3591664,0.5800195312499999,5.229949951171877e-06,7.4,157.39,165.96,89.89,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.3037232,3.1442736000000004,8.052408,0.541611328125,5.596160888671877e-06,7.41,157.44,165.88,89.8,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.2270336,3.3743424,8.052408,0.500791015625,5.962371826171877e-06,7.42,157.51,165.91,89.74,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.2270336,3.3743424,8.205787200000001,0.475,5.962371826171877e-06,7.43,157.56,165.95,89.74,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.3804128,3.2209632,8.3591664,0.588740234375,4.131317138671879e-06,7.44,157.6,165.97,89.73,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.3037232,3.2209632,8.435856000000001,0.546435546875,5.962371826171877e-06,7.45,157.73,166.01,89.80000000000001,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.2270336,3.451032,8.2824768,0.5065429687499999,4.497528076171876e-06,7.46,157.88,166.01,90.02000000000001,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.3037232,3.1442736000000004,8.435856000000001,0.474814453125,5.229949951171877e-06,7.47,157.89,165.98,90.10999999999999,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.3804128,3.1442736000000004,8.2824768,0.5907812499999999,6.328582763671878e-06,7.48,157.91,165.95,90.21,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.3804128,3.2976528,8.205787200000001,0.5536718749999999,5.596160888671877e-06,7.49,157.92,165.81,90.31,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.3804128,3.1442736000000004,8.2824768,0.508212890625,5.596160888671877e-06,7.5,157.85,165.56,90.4,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.3804128,3.2976528,8.052408,0.475185546875,5.229949951171877e-06,7.51,157.73,165.18,90.5,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.2270336,3.2209632,8.2824768,0.590966796875,7.061004638671878e-06,7.52,157.69,165.04,90.55,-0.09,-0.99,0.09,-0.05,-0.05,-0.04
1.3804128,3.067584,7.9757184,0.552373046875,6.328582763671878e-06,7.53,157.59,164.9,90.57,-0.09000000000000088,-0.99,0.09,-0.05,-0.05,-0.05
1.3804128,3.2976528,7.9757184,0.5098828125,5.962371826171877e-06,7.54,157.5,164.74999999999997,90.63,-0.1,-0.99,0.09,-0.05,-0.05,-0.05
1.3804128,3.2976528,7.9757184,0.475,5.596160888671877e-06,7.55,157.36999999999998,164.56999999999996,90.68,-0.1,-0.99,0.09,-0.05,-0.05,-0.05
1.2270336,3.5277216000000005,7.9757184,0.5907812499999999,6.694793701171878e-06,7.56,157.05000000000004,164.27000000000004,90.67,-0.1,-0.99,0.09,-0.05,-0.05,-0.05
1.533792,3.2976528,7.899028800000001,0.5490332031249999,4.863739013671876e-06,7.57,156.88,164.06,90.61,-0.1,-0.99,0.09,-0.05,-0.05,-0.05
1.6104816,3.451032,7.8223392,0.505244140625,5.596160888671877e-06,7.58,156.7,163.89,90.55,-0.1,-0.99,0.09,-0.05,-0.05,-0.05
1.533792,3.3743424,7.899028800000001,0.470732421875,5.229949951171877e-06,7.59,156.52,163.73,90.51,-0.1,-0.99,0.08,-0.04,-0.05,-0.05
1.2270336,3.3743424,8.052408,0.5803906249999999,4.131317138671879e-06,7.6,156.35,163.59,90.53,-0.09,-0.99,0.08,-0.04,-0.05,-0.04
1.4571024,3.067584,7.8223392,0.535302734375,6.328582763671878e-06,7.61,156.08,163.41,90.58,-0.09,-0.99,0.08,-0.04,-0.06,-0.04
1.6104816,2.9908944,7.9757184,0.492626953125,5.962371826171877e-06,7.62,155.94999999999996,163.35,90.65,-0.09,-0.99,0.08,-0.04,-0.06,-0.04
1.6871712,3.067584,8.052408,0.5636914062499999,4.131317138671879e-06,7.63,155.78,163.23,90.68,-0.09,-0.99,0.08,-0.04,-0.06,-0.04
1.9939296,2.9142048000000003,8.2824768,0.559794921875,4.863739013671876e-06,7.64,155.66,163.11,90.71,-0.09,-0.99,0.08,-0.04,-0.06,-0.04
1.9172400000000005,3.3743424,8.2824768,0.5111816406249999,5.962371826171877e-06,7.65,155.54,163.05,90.72,-0.09,-0.99,0.08,-0.04,-0.06,-0.04
