acc_x,acc_y,acc_z,v_dc,i_dc,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
1.3804128,2.0706192,9.2794416,0.55107421875,3.450393676757813e-06,6.02,121.23,158.26,62.33,0.07,-1.0,0.06,-0.03,-0.02,0.04
1.6871712,1.7638608000000002,9.0493728,0.5588671875,4.549026489257813e-06,6.03,121.23,158.48,62.309999999999995,0.07,-1.0,0.06,-0.03,-0.02,0.04
1.3037232,1.4571024,8.819304,0.563876953125,3.450393676757813e-06,6.04,121.22,158.63000000000002,62.24,0.07,-1.0,0.06,-0.03,-0.02,0.04
1.3037232,1.6871712,8.8959936,0.572412109375,3.450393676757813e-06,6.05,121.22000000000001,158.83000000000004,62.209999999999994,0.07,-1.0,0.06,-0.03,-0.02,0.04
1.3037232,1.7638608000000002,8.819304,0.57556640625,3.450393676757813e-06,6.06,121.31,159.15,62.08999999999999,0.07,-1.0,0.06,-0.03,-0.02,0.04
1.3037232,1.9172400000000005,8.972683200000002,0.5796484375,3.450393676757813e-06,6.07,121.34,159.14,61.93999999999998,0.07,-1.0,0.06,-0.03,-0.02,0.04
1.4571024,1.6871712,8.972683200000002,0.583359375,2.717971801757813e-06,6.08,121.37,159.11,61.84,0.07,-1.0,0.06,-0.03,-0.02,0.04
1.4571024,1.6871712,8.742614399999999,0.587255859375,3.450393676757813e-06,6.09,121.41,159.09,61.82,0.07,-1.0,0.06,-0.03,-0.02,0.04
1.3804128,1.9172400000000005,8.742614399999999,0.590966796875,1.6193389892578129e-06,6.1,121.47,159.07,61.82,0.07,-1.0,0.06,-0.03,-0.02,0.04
1.2270336,1.8405504,8.6659248,0.595234375,1.9855499267578128e-06,6.11,121.58,158.94,61.85,0.07,-1.0,0.06,-0.03,-0.02,0.04
1.0736544,1.9172400000000005,8.5125456,0.598203125,1.2531280517578126e-06,6.12,121.6,158.88,61.84,0.07,-1.0,0.06,-0.03,-0.02,0.04
1.3037232,1.9939296,8.435856000000001,0.5484765625,3.084182739257813e-06,6.13,121.6,158.88,61.82,0.07,-1.0,0.06,-0.03,-0.02,0.04
1.3037232,1.8405504,8.2824768,0.507099609375,4.182815551757813e-06,6.14,121.58,158.89,61.85000000000001,0.07,-1.0,0.06,-0.03,-0.02,0.04
1.2270336,1.8405504,8.2824768,0.5091406249999999,4.549026489257813e-06,6.15,121.57000000000001,158.92000000000002,61.90000000000002,0.07,-1.0,0.06,-0.03,-0.02,0.04
1.4571024,1.8405504,8.589235200000001,0.501162109375,1.9855499267578128e-06,6.16,121.61000000000001,159.0,62.0,0.07,-1.0,0.06,-0.03,-0.02,0.04
1.3804128,1.9172400000000005,8.435856000000001,0.509326171875,3.450393676757813e-06,6.17,121.65,159.05,62.02,0.07,-1.0,0.06,-0.03,-0.02,0.04
1.3037232,1.8405504,8.6659248,0.51396484375,2.717971801757813e-06,6.18,121.69,159.09,62.03,0.07,-1.0,0.06,-0.03,-0.02,0.04
1.4571024,1.8405504,8.589235200000001,0.51990234375,2.717971801757813e-06,6.19,121.71,159.1,61.99,0.07,-1.0,0.06,-0.03,-0.02,0.04
