acc_x,acc_y,acc_z,v_dc,i_dc,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
3.6811008,1.2270336,8.819304,0.561279296875,1.3435363769531253e-05,4.02,29.3,141.16,63.16,-0.13,-0.99,0.11,-0.06,-0.02,-0.06
3.5277216000000005,1.6104816,8.742614399999999,0.551630859375,9.77325439453125e-06,4.03,29.37,141.13,63.14,-0.13,-0.99,0.11,-0.06,-0.02,-0.06
3.3743424,1.6104816,8.742614399999999,0.541796875,1.490020751953125e-05,4.04,29.42,141.08,63.11,-0.13,-0.99,0.11,-0.06,-0.02,-0.06
3.2976528,1.3804128,8.3591664,0.534189453125,1.526641845703125e-05,4.05,29.5,141.0,63.07,-0.13,-0.99,0.11,-0.06,-0.02,-0.06
3.2209632,1.4571024,8.589235200000001,0.5247265624999999,9.40704345703125e-06,4.06,29.66,140.84,63.02,-0.13,-0.99,0.11,-0.06,-0.02,-0.06
3.2209632,1.6104816,8.435856000000001,0.517119140625,1.306915283203125e-05,4.07,29.78,140.8,63.01,-0.13,-0.99,0.11,-0.06,-0.02,-0.06
3.2209632,1.3804128,8.2824768,0.5087695312499999,1.160430908203125e-05,4.08,29.9,140.74,63.04,-0.13,-0.99,0.11,-0.06,-0.02,-0.06
3.3743424,1.533792,8.589235200000001,0.50431640625,1.160430908203125e-05,4.09,30.01,140.68,63.09,-0.13,-0.99,0.11,-0.06,-0.02,-0.06
3.3743424,1.4571024,8.6659248,0.500419921875,7.20977783203125e-06,4.1,30.09,140.59,63.11,-0.13,-0.99,0.11,-0.06,-0.02,-0.06
3.451032,1.2270336,8.5125456,0.497822265625,6.84356689453125e-06,4.11,30.28,140.58,63.19,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.5277216000000005,1.3804128,8.3591664,0.504873046875,6.47735595703125e-06,4.12,30.36,140.54,63.23,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.067584,1.6104816,8.205787200000001,0.52806640625,5.74493408203125e-06,4.13,30.45,140.54,63.29,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
2.9908944,1.7638608000000002,8.052408,0.5501464843749999,6.1111450195312495e-06,4.14,30.51,140.5,63.36,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.1442736000000004,1.4571024,8.052408,0.574267578125,8.30841064453125e-06,4.15,30.56,140.48,63.45,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.1442736000000004,1.6104816,8.052408,0.5954199218749999,1.3435363769531253e-05,4.16,30.62,140.49,63.64,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.3743424,1.533792,8.205787200000001,0.5855859375,1.3435363769531253e-05,4.17,30.65,140.52,63.74,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.451032,1.6871712,8.2824768,0.5677734375,1.563262939453125e-05,4.18,30.69,140.57,63.8,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.3743424,1.533792,8.205787200000001,0.553486328125,1.636505126953125e-05,4.19,30.730000000000004,140.61,63.82,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.6044112,1.533792,8.205787200000001,0.5410546875,1.380157470703125e-05,4.2,30.77,140.65,63.85,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.5277216000000005,1.533792,8.1290976,0.531962890625,1.599884033203125e-05,4.21,30.84,140.76,63.94,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.6811008,1.2270336,8.205787200000001,0.5204589843749999,1.1238098144531247e-05,4.22,30.89,140.91,63.93,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.5277216000000005,1.3804128,8.1290976,0.5115527343749999,1.3435363769531253e-05,4.23,30.940000000000005,141.09000000000003,63.91,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.2209632,1.533792,8.1290976,0.502275390625,1.160430908203125e-05,4.24,31.0,141.26,63.94,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.1442736000000004,1.6871712,8.1290976,0.4976367187499999,7.57598876953125e-06,4.25,31.09,141.41,63.92,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.3743424,1.3037232,7.9757184,0.4989355468749999,6.1111450195312495e-06,4.26,31.2,141.59,63.87,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.451032,1.6104816,8.1290976,0.518603515625,7.57598876953125e-06,4.27,31.42,141.87,63.81,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.1442736000000004,1.7638608000000002,8.2824768,0.5486621093749999,9.04083251953125e-06,4.28,31.57,142.0,63.78,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.2976528,1.6871712,8.2824768,0.5761230468749999,9.77325439453125e-06,4.29,31.73,142.14,63.75,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.3743424,1.4571024,8.3591664,0.59375,1.197052001953125e-05,4.3,31.9,142.3,63.74,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.3743424,1.7638608000000002,8.205787200000001,0.593564453125,1.490020751953125e-05,4.31,32.27,142.57,63.66,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.3743424,1.3804128,8.3591664,0.5779785156249999,1.453399658203125e-05,4.32,32.45,142.66,63.61,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.3743424,1.533792,8.1290976,0.561650390625,1.599884033203125e-05,4.33,32.65,142.77,63.56,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.2976528,1.4571024,8.2824768,0.5440234375,1.673126220703125e-05,4.34,32.84,142.91,63.5,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.2976528,1.4571024,8.3591664,0.5276953125,1.526641845703125e-05,4.35,33.0,143.0,63.42,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.6811008,1.6104816,8.5125456,0.516376953125,1.490020751953125e-05,4.36,33.18,143.11,63.36,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.6044112,1.4571024,8.589235200000001,0.502646484375,1.197052001953125e-05,4.37,33.49,143.3,63.22,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.7577904,1.3804128,8.742614399999999,0.4976367187499999,7.94219970703125e-06,4.38,33.65,143.39,63.15,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.5277216000000005,1.533792,8.3591664,0.51396484375,7.57598876953125e-06,4.39,33.83,143.49,63.1,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.3743424,1.4571024,8.205787200000001,0.5494042968749999,9.40704345703125e-06,4.4,34.0,143.6,63.08,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.067584,1.3037232,8.1290976,0.583173828125,7.57598876953125e-06,4.41,34.18,143.71,63.07,-0.12,-0.99,0.11,-0.06,-0.02,-0.06
3.067584,1.3037232,8.2824768,0.5915234374999999,9.40704345703125e-06,4.42,34.6,143.83,63.03,-0.11,-0.99,0.11,-0.05,-0.02,-0.06
2.9908944,1.533792,8.435856000000001,0.571298828125,1.0871887207031249e-05,4.43,34.79,143.87,63.01,-0.11,-0.99,0.11,-0.05,-0.02,-0.06
3.067584,1.4571024,8.6659248,0.554970703125,1.0871887207031249e-05,4.44,34.98000000000002,143.88,63.0,-0.11,-0.99,0.11,-0.05,-0.03,-0.06
3.2976528,1.3037232,8.3591664,0.5386425781249999,1.490020751953125e-05,4.45,35.19,143.91,62.97,-0.11,-0.99,0.11,-0.05,-0.03,-0.06
3.5277216000000005,1.1503440000000005,8.5125456,0.524912109375,1.270294189453125e-05,4.46,35.36,143.89,62.93,-0.11,-0.99,0.11,-0.05,-0.03,-0.06
3.3743424,1.3804128,8.589235200000001,0.515634765625,1.673126220703125e-05,4.47,35.7,143.87,62.93,-0.11,-0.99,0.1,-0.05,-0.03,-0.05
3.1442736000000004,1.4571024,8.589235200000001,0.5080273437499999,2.039337158203125e-05,4.48,35.88000000000002,143.88,62.94,-0.11,-0.99,0.1,-0.05,-0.03,-0.05
2.9142048000000003,1.3804128,8.3591664,0.49912109375,1.306915283203125e-05,4.49,36.08,143.9,62.93,-0.11,-0.99,0.1,-0.05,-0.03,-0.05
3.1442736000000004,1.4571024,8.3591664,0.4976367187499999,5.01251220703125e-06,4.5,36.27,143.95,62.95,-0.11,-0.99,0.1,-0.05,-0.03,-0.05
3.067584,1.3804128,8.435856000000001,0.510068359375,6.1111450195312495e-06,4.51,36.42,143.98,62.92,-0.11,-0.99,0.1,-0.05,-0.03,-0.05
3.451032,1.3037232,8.205787200000001,0.5306640625,5.37872314453125e-06,4.52,36.71,143.97,62.87,-0.11,-0.99,0.1,-0.05,-0.03,-0.05
3.3743424,1.3804128,8.205787200000001,0.555712890625,6.47735595703125e-06,4.53,36.86,143.93,62.87,-0.11,-0.99,0.1,-0.05,-0.03,-0.05
3.2976528,1.533792,8.5125456,0.57853515625,7.57598876953125e-06,4.54,37.0,143.88,62.88,-0.11,-0.99,0.1,-0.05,-0.03,-0.05
3.5277216000000005,1.533792,8.5125456,0.5954199218749999,1.453399658203125e-05,4.55,37.14,143.82,62.91,-0.1,-0.99,0.1,-0.05,-0.03,-0.05
3.3743424,1.533792,8.435856000000001,0.58818359375,1.526641845703125e-05,4.56,37.3,143.75,62.91,-0.1,-0.99,0.1,-0.05,-0.03,-0.05
3.5277216000000005,1.3804128,8.435856000000001,0.5737109375,1.453399658203125e-05,4.57,37.63,143.5,62.93,-0.1,-0.99,0.1,-0.05,-0.03,-0.05
3.2209632,1.4571024,8.435856000000001,0.5588671875,1.599884033203125e-05,4.58,37.84,143.45,62.96,-0.1,-0.99,0.1,-0.05,-0.03,-0.05
3.3743424,1.3804128,8.2824768,0.54328125,1.306915283203125e-05,4.59,38.06,143.39,62.98,-0.1,-0.99,0.1,-0.05,-0.03,-0.05
2.9142048000000003,1.533792,8.052408,0.52955078125,8.30841064453125e-06,4.6,38.29,143.43,63.01,-0.1,-0.99,0.1,-0.05,-0.03,-0.05
3.1442736000000004,1.3804128,7.9757184,0.51841796875,1.233673095703125e-05,4.61,38.48,143.47,63.07,-0.1,-0.99,0.1,-0.05,-0.03,-0.05
2.9908944,1.533792,8.1290976,0.5104394531249999,1.270294189453125e-05,4.62,38.85,143.51,63.13,-0.1,-0.99,0.1,-0.05,-0.03,-0.05
3.067584,1.6104816,8.052408,0.501904296875,1.233673095703125e-05,4.63,39.03,143.57,63.19,-0.1,-0.99,0.1,-0.05,-0.03,-0.05
3.067584,1.3804128,8.1290976,0.4968945312499999,5.74493408203125e-06,4.64,39.22,143.63,63.24,-0.09,-0.99,0.1,-0.05,-0.02,-0.05
3.2209632,1.4571024,8.052408,0.5039453125,5.74493408203125e-06,4.65,39.4,143.69,63.29,-0.09,-0.99,0.1,-0.05,-0.02,-0.05
3.2976528,1.533792,8.205787200000001,0.530107421875,8.30841064453125e-06,4.66,39.61,143.76,63.34,-0.09,-0.99,0.1,-0.05,-0.02,-0.05
3.3743424,1.533792,8.589235200000001,0.557939453125,7.20977783203125e-06,4.67,40.0,143.98,63.43,-0.09,-0.99,0.1,-0.05,-0.02,-0.04
3.3743424,1.533792,8.5125456,0.58521484375,1.197052001953125e-05,4.68,40.17,144.1,63.54,-0.09,-0.99,0.1,-0.05,-0.02,-0.04
3.5277216000000005,1.4571024,8.5125456,0.5930078125,9.40704345703125e-06,4.69,40.320000000000014,144.19,63.63000000000001,-0.09,-0.99,0.1,-0.05,-0.03,-0.04
3.3743424,1.4571024,8.2824768,0.57259765625,1.233673095703125e-05,4.7,40.45,144.25,63.72,-0.09,-0.99,0.1,-0.05,-0.03,-0.04
3.3743424,1.3804128,8.589235200000001,0.552744140625,1.380157470703125e-05,4.71,40.57,144.36,63.8,-0.09,-0.99,0.1,-0.05,-0.03,-0.04
3.3743424,1.4571024,8.5125456,0.537900390625,1.160430908203125e-05,4.72,40.69,144.49,63.91,-0.09,-0.99,0.1,-0.05,-0.03,-0.04
3.2976528,1.6104816,8.3591664,0.528994140625,1.453399658203125e-05,4.73,40.900000000000006,144.75,64.13,-0.09,-0.99,0.1,-0.05,-0.03,-0.04
2.9908944,1.6871712,8.3591664,0.5173046875,1.0871887207031249e-05,4.74,40.98,144.88,64.2,-0.09,-0.99,0.1,-0.05,-0.03,-0.04
2.9908944,1.6871712,8.2824768,0.5069140624999999,1.197052001953125e-05,4.75,41.08,144.98,64.28,-0.09,-0.99,0.1,-0.05,-0.03,-0.04
