acc_x,acc_y,acc_z,v_dc,i_dc,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
1.7638608000000002,2.0706192,8.435856000000001,0.58298828125,9.349822998046875e-06,5.02,14.85,148.69,73.94,0.03,-0.99,0.15,-0.08,0.05,0.01
1.6871712,2.0706192,8.742614399999999,0.5061718749999999,1.7040252685546877e-05,5.03,15.45,148.56,74.0,0.03,-0.99,0.15,-0.08,0.05,0.01
1.7638608000000002,1.9172400000000005,8.819304,0.58818359375,2.143478393554688e-05,5.04,15.76,148.41,73.98,0.03,-0.99,0.15,-0.08,0.05,0.01
1.533792,1.8405504,8.742614399999999,0.501533203125,1.923751831054688e-05,5.05,16.13,148.27,73.93,0.03,-0.99,0.15,-0.08,0.05,0.01
1.4571024,1.9172400000000005,8.8959936,0.5664746093749999,1.923751831054688e-05,5.06,16.5,148.12,73.92,0.03,-0.99,0.15,-0.08,0.05,0.01
1.3037232,2.1473088,8.8959936,0.516748046875,1.8871307373046875e-05,5.07,16.87,147.89,73.77,0.04,-0.99,0.15,-0.08,0.05,0.01
1.3804128,2.1473088,8.589235200000001,0.55626953125,2.326583862304688e-05,5.08,17.59,147.46,73.45,0.04,-0.99,0.15,-0.08,0.05,0.02
1.4571024,2.1473088,8.589235200000001,0.531220703125,1.5575408935546876e-05,5.09,17.93,147.19,73.21,0.04,-0.99,0.15,-0.08,0.05,0.02
1.2270336,2.0706192,8.052408,0.5501464843749999,1.7406463623046877e-05,5.1,18.23,146.9,72.99,0.04,-0.99,0.15,-0.08,0.04,0.02
1.1503440000000005,2.0706192,8.435856000000001,0.530849609375,1.6674041748046877e-05,5.11,18.5,146.59,72.77,0.04,-0.99,0.15,-0.08,0.04,0.02
1.533792,1.9172400000000005,8.2824768,0.552373046875,3.095626831054688e-05,5.12,18.73,146.22,72.61,0.04,-0.99,0.15,-0.08,0.04,0.02
1.6104816,1.9172400000000005,8.2824768,0.5254687499999999,2.2167205810546875e-05,5.13,19.08,145.49,72.43,0.05,-0.99,0.15,-0.08,0.04,0.02
1.6871712,1.8405504,8.205787200000001,0.557939453125,2.2167205810546875e-05,5.14,19.15,145.11,72.53,0.05,-0.99,0.15,-0.08,0.04,0.02
1.533792,1.8405504,8.205787200000001,0.518974609375,1.8871307373046875e-05,5.15,19.15,144.75,72.62,0.05,-0.99,0.15,-0.08,0.05,0.02
1.3804128,1.9172400000000005,8.3591664,0.561279296875,2.399826049804688e-05,5.16,19.07,144.41,72.77,0.05,-0.99,0.15,-0.08,0.04,0.02
1.3804128,2.0706192,8.052408,0.5217578125,2.070236206054688e-05,5.17,18.93,144.08,72.92,0.05,-0.99,0.15,-0.08,0.04,0.02
1.3804128,2.2239984,8.052408,0.556640625,2.436447143554688e-05,5.18,18.46,143.43,73.5,0.05,-0.99,0.15,-0.08,0.04,0.02
1.533792,2.0706192,7.7456496,0.51470703125,2.509689331054688e-05,5.19,18.19,143.05,73.78,0.05,-0.99,0.15,-0.08,0.04,0.02
1.6104816,2.2239984,7.9757184,0.559052734375,2.2899627685546875e-05,5.2,17.9,142.69,74.12,0.05,-0.99,0.15,-0.08,0.04,0.02
1.9172400000000005,2.3773776,8.052408,0.524912109375,2.2167205810546875e-05,5.21,17.54,142.42,74.52,0.05,-0.99,0.15,-0.08,0.05,0.02
2.3006880000000005,2.3773776,7.9757184,0.54921875,2.2167205810546875e-05,5.22,17.08,142.18,74.94,0.05,-0.99,0.15,-0.08,0.05,0.02
2.4540672,2.4540672,8.2824768,0.552744140625,9.349822998046875e-06,5.23,16.17,141.82,75.81,0.06,-0.99,0.15,-0.08,0.05,0.02
2.4540672,2.6841360000000005,8.2824768,0.523798828125,2.363204956054688e-05,5.24,15.76,141.83,76.33,0.06,-0.99,0.16,-0.08,0.05,0.03
2.4540672,2.6841360000000005,8.1290976,0.582802734375,9.716033935546876e-06,5.25,15.3,141.95,76.7,0.06,-0.99,0.16,-0.08,0.05,0.03
2.5307568,2.5307568,8.2824768,0.502275390625,2.2533416748046875e-05,5.26,14.81,142.29,77.01,0.07,-0.98,0.16,-0.08,0.05,0.03
2.4540672,2.5307568,8.205787200000001,0.5672167968749999,1.923751831054688e-05,5.27,14.33,142.84,77.37,0.07,-0.98,0.17,-0.09,0.05,0.03
2.5307568,2.4540672,8.435856000000001,0.536044921875,2.033615112304688e-05,5.28,13.16,144.98,77.72,0.08,-0.98,0.18,-0.09,0.05,0.04
2.5307568,2.4540672,8.5125456,0.52732421875,1.8871307373046875e-05,5.29,12.68,146.69,77.67,0.08,-0.98,0.18,-0.09,0.05,0.04
2.5307568,2.3006880000000005,8.052408,0.58669921875,1.3011932373046877e-05,5.3,12.2,148.87,77.34,0.09,-0.98,0.18,-0.09,0.05,0.04
2.3006880000000005,2.3773776,8.435856000000001,0.501162109375,2.2167205810546875e-05,5.31,11.61,151.76,76.9,0.09,-0.98,0.18,-0.09,0.05,0.04
2.1473088,2.4540672,8.6659248,0.55626953125,2.399826049804688e-05,5.32,10.94,155.04,76.32,0.09,-0.98,0.18,-0.09,0.06,0.04
2.1473088,2.6074464,8.742614399999999,0.5529296874999999,9.716033935546876e-06,5.33,9.51,162.89,75.03,0.08,-0.98,0.18,-0.09,0.06,0.04
2.2239984,2.4540672,9.5095104,0.518232421875,2.070236206054688e-05,5.34,8.9,167.3,74.14,0.08,-0.98,0.17,-0.09,0.06,0.03
2.4540672,2.4540672,10.1997168,0.5892968749999999,2.2167205810546875e-05,5.35,8.33,172.16,73.04,0.07,-0.98,0.17,-0.09,0.05,0.03
2.7608256,2.4540672,10.9666128,0.507099609375,1.8505096435546875e-05,5.36,7.82,177.74,72.11,0.07,-0.98,0.16,-0.08,0.05,0.03
2.6841360000000005,1.8405504,12.1936464,0.547177734375,2.070236206054688e-05,5.37,7.31,184.08,71.14,0.07,-0.98,0.16,-0.08,0.05,0.03
2.8375152,1.7638608000000002,12.577094400000002,0.558125,9.349822998046875e-06,5.38,6.24,198.22,68.72,0.09,-0.98,0.15,-0.08,0.05,0.04
2.9142048000000003,1.6104816,13.42068,0.514892578125,1.960372924804688e-05,5.39,5.61,205.83,67.33,0.1,-0.98,0.15,-0.08,0.05,0.04
2.7608256,1.8405504,13.804128,0.58744140625,1.4476776123046876e-05,5.4,4.9,214.28,65.8,0.11,-0.98,0.14,-0.07,0.05,0.05
2.6074464,1.8405504,14.2642656,0.506357421875,1.996994018554688e-05,5.41,4.16,222.63,64.18,0.12,-0.99,0.12,-0.06,0.05,0.06
2.4540672,2.4540672,14.6477136,0.5885546875,2.1800994873046874e-05,5.42,3.39,231.66,62.64,0.13,-0.99,0.11,-0.06,0.05,0.06
2.4540672,2.4540672,15.1078512,0.508212890625,2.363204956054688e-05,5.43,1.62,250.55,59.4,0.15,-0.99,0.07,-0.04,0.06,0.07
2.1473088,2.6841360000000005,15.1078512,0.5622070312499999,8.617401123046875e-06,5.44,0.91,260.36,58.05,0.15,-0.99,0.04,-0.03,0.06,0.07
2.2239984,2.4540672,15.5679888,0.5672167968749999,2.033615112304688e-05,5.45,0.1,270.38,56.6,0.15,-0.99,0.02,-0.02,0.06,0.07
2.3773776,1.9172400000000005,15.4146096,0.524541015625,2.363204956054688e-05,5.46,-0.74,280.73,55.16,0.14,-0.99,-0.01,0.0,0.06,0.07
2.1473088,1.9939296,15.1078512,0.512666015625,2.070236206054688e-05,5.47,-1.57,291.1,53.72,0.15,-0.99,-0.02,0.01,0.07,0.07
2.1473088,2.3773776,14.8010928,0.517861328125,2.6927947998046872e-05,5.48,-3.15,311.74,51.67,0.14,-0.99,-0.06,0.03,0.07,0.07
2.2239984,2.6841360000000005,14.7244032,0.545693359375,2.509689331054688e-05,5.49,-3.9,321.59,50.62,0.16,-0.98,-0.08,0.03,0.07,0.08
2.3773776,2.4540672,14.7244032,0.579091796875,1.923751831054688e-05,5.5,-4.68,331.8,49.78,0.16,-0.98,-0.1,0.04,0.07,0.08
2.2239984,2.5307568,14.2642656,0.51173828125,2.509689331054688e-05,5.51,-5.36,342.61,49.02,0.16,-0.98,-0.12,0.06,0.08,0.08
2.3773776,2.4540672,14.3409552,0.551259765625,2.802658081054688e-05,5.52,-5.81,353.34,48.46,0.15,-0.98,-0.14,0.06,0.08,0.08
2.4540672,2.4540672,13.4973696,0.57259765625,2.9491424560546875e-05,5.53,-6.83,374.25,47.7,0.15,-0.97,-0.17,0.08,0.08,0.08
2.1473088,2.4540672,12.9605424,0.5573828125,2.802658081054688e-05,5.54,-7.38,384.8,47.1,0.12,-0.97,-0.19,0.09,0.08,0.07
1.9939296,2.3773776,12.4237152,0.51099609375,3.095626831054688e-05,5.55,-7.77,394.61,46.73,0.11,-0.97,-0.21,0.1,0.08,0.06
2.1473088,2.2239984,11.7335088,0.57111328125,3.168869018554688e-05,5.56,-7.76,404.0,46.72,0.13,-0.97,-0.22,0.11,0.08,0.07
2.0706192,1.9172400000000005,11.4267504,0.5772363281249999,3.132247924804688e-05,5.57,-7.8,413.43,46.81,0.14,-0.96,-0.23,0.11,0.08,0.08
1.9172400000000005,1.8405504,10.736544000000002,0.57556640625,3.498458862304687e-05,5.58,-8.09,431.34,47.16,0.15,-0.96,-0.25,0.12,0.08,0.09
1.6871712,1.6871712,10.0463376,0.523798828125,3.498458862304687e-05,5.59,-8.32,440.28,47.23,0.15,-0.95,-0.26,0.13,0.08,0.08
1.0736544,1.8405504,9.5862,0.56962890625,3.681564331054688e-05,5.6,-8.74,449.87,47.09,0.13,-0.95,-0.27,0.13,0.08,0.08
0.9202752,2.0706192,9.202752000000002,0.570185546875,4.121017456054688e-05,5.61,-8.98,459.37,46.66,0.11,-0.95,-0.28,0.13,0.08,0.07
0.766896,1.6871712,8.742614399999999,0.54068359375,3.937911987304688e-05,5.62,-9.26,468.43,46.78,0.11,-0.95,-0.28,0.14,0.08,0.07
0.6902064,1.3804128,8.589235200000001,0.5737109375,5.366134643554688e-05,5.63,-9.23,476.11,47.15,0.11,-0.95,-0.28,0.14,0.08,0.07
0.766896,1.0736544,8.3591664,0.56109375,6.245040893554687e-05,5.64,-9.11,490.37,48.7,0.14,-0.95,-0.29,0.14,0.08,0.08
0.9969648,0.766896,8.052408,0.56962890625,4.816818237304688e-05,5.65,-8.99,497.31,49.61,0.15,-0.94,-0.29,0.14,0.07,0.09
0.6902064,0.5368272000000001,7.668960000000001,0.530107421875,5.878829956054688e-05,5.66,-8.87,503.82,50.09,0.16,-0.94,-0.29,0.14,0.07,0.09
0.5368272000000001,0.5368272000000001,7.285512000000001,0.53734375,5.842208862304688e-05,5.67,-8.77,510.33,50.36,0.16,-0.94,-0.29,0.14,0.07,0.09
0.1533792,0.2300688,6.7486848,0.537529296875,6.830978393554688e-05,5.68,-8.68,517.14,50.82,0.16,-0.94,-0.29,0.14,0.07,0.09
0.383448,-0.0766896,6.4419264,0.560166015625,5.732345581054688e-05,5.69,-8.82,530.01,51.83,0.17,-0.94,-0.3,0.15,0.07,0.1
