acc_x,acc_y,acc_z,v_dc,i_dc,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
2.3773776,2.3006880000000005,8.589235200000001,0.557939453125,2.506828308105469e-05,5.02,-80.31,161.58,82.59,0.09,-0.97,0.24,-0.13,0.09,0.04
2.4540672,2.1473088,8.6659248,0.544765625,2.3603439331054688e-05,5.03,-80.38000000000001,161.61,82.58,0.09,-0.97,0.24,-0.13,0.09,0.04
2.4540672,2.3773776,8.742614399999999,0.53326171875,3.0195236206054687e-05,5.04,-80.48000000000002,161.67000000000002,82.60000000000001,0.09,-0.97,0.24,-0.13,0.09,0.04
2.4540672,2.3773776,8.589235200000001,0.56888671875,2.2504806518554687e-05,5.05,-80.58,161.86000000000004,82.75000000000001,0.09,-0.97,0.24,-0.13,0.09,0.04
2.4540672,2.2239984,8.6659248,0.51544921875,2.4335861206054688e-05,5.06,-80.63,162.04,82.88,0.09,-0.97,0.24,-0.13,0.09,0.04
2.3006880000000005,2.3773776,8.3591664,0.58447265625,1.2250900268554688e-05,5.07,-80.7,162.24000000000004,82.99000000000001,0.09,-0.97,0.24,-0.13,0.09,0.04
2.3006880000000005,2.3006880000000005,8.5125456,0.505244140625,2.7265548706054684e-05,5.08,-80.74,162.42000000000002,83.08,0.09,-0.97,0.24,-0.12999999999999912,0.09,0.04
2.1473088,2.1473088,8.205787200000001,0.56962890625,2.3969650268554688e-05,5.09,-80.76,162.59,83.13,0.09,-0.97,0.24,-0.12,0.09,0.04
2.0706192,2.2239984,8.3591664,0.526396484375,2.470207214355469e-05,5.1,-80.84,162.72,83.12,0.09,-0.97,0.24,-0.12,0.09,0.04
2.0706192,2.4540672,8.435856000000001,0.5501464843749999,2.3969650268554688e-05,5.11,-80.85,162.69,83.08,0.09000000000000088,-0.97,0.24,-0.12,0.09,0.04
1.8405504,2.3006880000000005,8.3591664,0.5455078125,3.166007995605469e-05,5.12,-80.91,162.64,83.04,0.1,-0.97,0.24,-0.12,0.09,0.04
2.3773776,2.2239984,8.6659248,0.5382714843749999,2.982902526855469e-05,5.13,-80.92,162.6,83.02,0.1,-0.97,0.24,-0.12,0.09,0.04
2.3006880000000005,2.2239984,8.435856000000001,0.556826171875,2.2871017456054687e-05,5.14,-80.91,162.58,83.0,0.1,-0.97,0.24,-0.12,0.09,0.04
2.4540672,2.3773776,8.819304,0.52732421875,2.8364181518554685e-05,5.15,-80.79,162.47,82.97,0.1,-0.97,0.24,-0.12,0.09,0.04
1.9939296,2.4540672,8.5125456,0.5722265625,2.213859558105469e-05,5.16,-80.72999999999999,162.39,82.91999999999999,0.1,-0.97,0.24,-0.12,0.09,0.04
2.0706192,2.3773776,8.589235200000001,0.513408203125,2.8364181518554685e-05,5.17,-80.65,162.29,82.84,0.1,-0.97,0.24,-0.12,0.09,0.04
2.0706192,2.1473088,8.3591664,0.58484375,1.5546798706054687e-05,5.18,-80.6,162.21,82.77,0.1,-0.97,0.24,-0.12,0.09,0.04
2.2239984,2.3006880000000005,8.052408,0.507470703125,2.6533126831054683e-05,5.19,-80.52999999999999,162.16,82.74,0.1,-0.97,0.24,-0.12,0.09,0.04
2.2239984,2.3006880000000005,8.2824768,0.58373046875,2.506828308105469e-05,5.2,-80.48,162.09999999999997,82.72000000000001,0.09999999999999823,-0.97,0.24,-0.12,0.09000000000000177,0.04
2.3006880000000005,2.3006880000000005,8.2824768,0.506357421875,2.946281433105469e-05,5.21,-80.45,162.0,82.77,0.09,-0.97,0.24,-0.12,0.1,0.04
2.2239984,2.3006880000000005,8.2824768,0.5811328124999999,2.580070495605469e-05,5.22,-80.46,161.95,82.81,0.09,-0.97,0.24,-0.12,0.1,0.04
2.3773776,2.1473088,8.2824768,0.5083984374999999,2.6899337768554684e-05,5.23,-80.45,161.85,82.84,0.09,-0.97,0.24,-0.12,0.1,0.03999999999999911
2.0706192,2.3773776,8.2824768,0.5783496093749999,2.470207214355469e-05,5.24,-80.39999999999999,161.77,82.87,0.09,-0.97,0.24,-0.12,0.1,0.03
2.1473088,2.3006880000000005,8.3591664,0.512666015625,2.6533126831054683e-05,5.25,-80.31999999999998,161.68,82.88,0.09,-0.97,0.24,-0.12,0.1,0.03
2.0706192,2.3006880000000005,8.3591664,0.571298828125,3.239250183105469e-05,5.26,-80.17999999999999,161.55,82.94,0.09,-0.97,0.24,-0.12,0.1,0.03
2.1473088,2.3773776,8.5125456,0.5158203125,2.4335861206054688e-05,5.27,-80.07999999999998,161.46,82.96,0.09,-0.97,0.24,-0.12,0.1,0.03
1.9939296,2.5307568,8.5125456,0.570556640625,2.3603439331054688e-05,5.28,-79.96999999999998,161.32999999999998,82.97,0.09,-0.97,0.24,-0.12,0.1,0.03
2.0706192,2.3773776,8.3591664,0.51396484375,3.129386901855469e-05,5.29,-79.87,161.13,82.99,0.09,-0.97,0.24,-0.12,0.1,0.03
1.9939296,2.3006880000000005,8.3591664,0.574638671875,2.543449401855469e-05,5.3,-79.77,160.87,82.99,0.09,-0.97,0.24,-0.12,0.1,0.03
1.9939296,2.1473088,8.3591664,0.513408203125,2.946281433105469e-05,5.31,-79.43,160.28,83.09,0.09,-0.97,0.24,-0.12,0.1,0.03
2.2239984,2.3006880000000005,8.2824768,0.57556640625,2.506828308105469e-05,5.32,-79.20999999999997,159.99999999999997,83.12,0.09,-0.97,0.24,-0.12,0.1,0.03
2.2239984,1.8405504,8.205787200000001,0.5076562499999999,2.580070495605469e-05,5.33,-78.91999999999997,159.68999999999997,83.15000000000002,0.09,-0.97,0.24,-0.12,0.1,0.03
2.2239984,2.1473088,8.205787200000001,0.582802734375,2.6899337768554684e-05,5.34,-78.60999999999997,159.33999999999997,83.26000000000002,0.09,-0.97,0.24,-0.12,0.1,0.03
2.0706192,2.2239984,8.052408,0.5069140624999999,2.470207214355469e-05,5.35,-78.26999999999992,158.97999999999993,83.40000000000003,0.09,-0.97,0.24,-0.12,0.1,0.03
1.8405504,2.3773776,8.435856000000001,0.584658203125,1.9208908081054687e-05,5.36,-77.41999999999992,158.20999999999992,83.66000000000003,0.09,-0.97,0.24,-0.12,0.1,0.03
1.9939296,2.2239984,8.589235200000001,0.509326171875,3.0195236206054687e-05,5.37,-76.91,157.76,83.83,0.09,-0.97,0.24,-0.12,0.1,0.03
2.1473088,2.4540672,8.5125456,0.5807617187499999,1.3715744018554684e-05,5.38,-76.41,157.24,83.98,0.09,-0.97,0.24,-0.12,0.1,0.03
1.9939296,2.3773776,8.6659248,0.515078125,2.7265548706054684e-05,5.39,-75.82,156.64,84.12,0.09,-0.97,0.24,-0.12,0.09,0.03
2.1473088,2.3006880000000005,8.2824768,0.57185546875,2.140617370605469e-05,5.4,-75.00999999999993,156.06999999999994,84.21000000000001,0.09,-0.97,0.24,-0.12,0.09,0.03
2.1473088,2.2239984,8.5125456,0.5247265624999999,2.3603439331054688e-05,5.41,-74.15999999999984,155.46999999999986,84.29000000000003,0.09,-0.97,0.24,-0.12000000000000088,0.09,0.030000000000000887
1.9939296,2.1473088,8.435856000000001,0.5664746093749999,2.3969650268554688e-05,5.42,-72.3499999999999,153.95999999999995,84.60000000000001,0.09000000000000088,-0.97,0.24,-0.12999999999999912,0.09,0.04
1.8405504,2.3773776,8.3591664,0.527509765625,2.616691589355469e-05,5.43,-71.2699999999999,153.23999999999995,84.74000000000002,0.1,-0.97,0.24,-0.12,0.09,0.04
1.9172400000000005,2.3773776,8.205787200000001,0.560537109375,2.7265548706054684e-05,5.44,-70.2199999999998,152.61999999999986,85.03000000000002,0.1,-0.97,0.24,-0.12,0.09,0.04
2.2239984,2.2239984,8.5125456,0.5351171874999999,2.7631759643554684e-05,5.45,-69.06999999999978,151.83999999999986,85.13999999999997,0.1,-0.97,0.23999999999999821,-0.12,0.09,0.04
2.1473088,2.3773776,8.589235200000001,0.5499609375,2.909660339355469e-05,5.46,-67.88,151.09,84.99,0.1,-0.97,0.23,-0.12,0.09,0.04
1.9172400000000005,2.3773776,8.2824768,0.5440234375,2.6533126831054683e-05,5.47,-64.99,149.06,84.13,0.1,-0.97,0.23,-0.12,0.09,0.04
2.1473088,2.3773776,8.5125456,0.546806640625,2.3969650268554688e-05,5.48,-63.26999999999984,148.26999999999995,83.65999999999998,0.1,-0.97,0.22999999999999912,-0.12,0.09,0.04
1.9939296,2.4540672,8.589235200000001,0.541982421875,2.8364181518554685e-05,5.49,-61.469999999999835,147.70999999999998,83.45,0.1,-0.97,0.22,-0.11999999999999911,0.09,0.04
1.9172400000000005,2.3006880000000005,8.5125456,0.544580078125,2.6533126831054683e-05,5.5,-59.629999999999825,147.34999999999997,83.49000000000001,0.1,-0.97,0.22,-0.11,0.09,0.04
