acc_x,acc_y,acc_z,v_dc,i_dc,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
2.0706192,2.5307568,8.2824768,0.4946679687499999,3.250694274902344e-05,4.02,155.29,172.57,95.12,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.0706192,2.4540672,8.205787200000001,0.572412109375,1.8224716186523444e-05,4.03,155.31,172.46,95.13000000000001,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.1473088,2.4540672,8.205787200000001,0.4950390624999999,2.737998962402344e-05,4.04,155.37,172.35,95.22,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.1473088,2.5307568,8.2824768,0.569814453125,2.152061462402344e-05,4.05,155.35,172.29,95.27,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.3773776,2.4540672,8.2824768,0.49912109375,3.214073181152344e-05,4.06,155.35,172.24,95.3,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.3773776,2.4540672,8.3591664,0.5707421875,2.225303649902344e-05,4.07,155.3,172.16999999999996,95.34,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.4540672,2.4540672,8.3591664,0.4946679687499999,3.3605575561523444e-05,4.08,155.22,171.94,95.32,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.5307568,2.4540672,8.589235200000001,0.57408203125,2.042198181152344e-05,4.09,155.19,171.9,95.36,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.3773776,2.4540672,8.435856000000001,0.4896582031249999,3.030967712402344e-05,4.1,155.13,171.87,95.43,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.3006880000000005,2.3773776,8.205787200000001,0.57259765625,2.4816513061523443e-05,4.11,155.07,171.85,95.39,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
1.9172400000000005,2.6841360000000005,8.2824768,0.491513671875,2.921104431152344e-05,4.12,155.08,171.89000000000001,95.36,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
1.6871712,2.6841360000000005,7.9757184,0.56962890625,3.104209899902344e-05,4.13,155.16,172.08,95.43,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
1.9939296,2.4540672,8.435856000000001,0.492998046875,3.030967712402344e-05,4.14,155.2,172.13,95.46,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
1.9172400000000005,2.3773776,8.435856000000001,0.5675878906249999,2.994346618652344e-05,4.15,155.25,172.16,95.44,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.3006880000000005,2.4540672,8.5125456,0.4946679687499999,2.811241149902344e-05,4.16,155.31,172.19,95.41,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.0706192,2.6074464,8.435856000000001,0.565361328125,3.177452087402344e-05,4.17,155.34,172.21,95.45,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.1473088,2.4540672,8.589235200000001,0.4976367187499999,2.957725524902344e-05,4.18,155.42,172.22,95.39999999999999,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.3773776,2.6074464,8.2824768,0.55849609375,3.177452087402344e-05,4.19,155.48,172.24,95.32,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.3006880000000005,2.4540672,8.5125456,0.503759765625,2.994346618652344e-05,4.2,155.53,172.27,95.26,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.0706192,2.3773776,8.589235200000001,0.553115234375,2.884483337402344e-05,4.21,155.57,172.37,95.23,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.2239984,2.5307568,8.435856000000001,0.5083984374999999,2.737998962402344e-05,4.22,155.66,172.46,95.22,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.2239984,2.6074464,8.435856000000001,0.550703125,3.067588806152344e-05,4.23,155.75,172.60000000000002,95.25,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.3006880000000005,2.4540672,8.435856000000001,0.513779296875,2.994346618652344e-05,4.24,155.85,172.88,95.26,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.3006880000000005,2.6841360000000005,8.435856000000001,0.546064453125,3.067588806152344e-05,4.25,155.9,173.02,95.29,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.2239984,2.4540672,8.3591664,0.5230566406249999,2.994346618652344e-05,4.26,155.94,173.09,95.31,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.0706192,2.5307568,8.2824768,0.5358593749999999,2.994346618652344e-05,4.27,155.99,173.14,95.38,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
1.9939296,2.4540672,8.2824768,0.53251953125,2.811241149902344e-05,4.28,156.08,173.21,95.39,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.0706192,2.4540672,8.1290976,0.52880859375,2.8478622436523443e-05,4.29,156.2,173.2,95.32,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
1.9939296,2.5307568,7.9757184,0.540498046875,2.591514587402344e-05,4.3,156.25,173.2,95.33,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.1473088,2.4540672,8.205787200000001,0.52138671875,2.554893493652344e-05,4.31,156.35,173.26,95.4,-0.07,-0.99,-0.09,0.04,-0.05,-0.04
2.1473088,2.5307568,8.5125456,0.5469921875,2.8478622436523443e-05,4.32,156.48,173.35,95.43,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
2.3006880000000005,2.5307568,8.435856000000001,0.513779296875,3.250694274902344e-05,4.33,156.59000000000003,173.49000000000004,95.46999999999998,-0.07,-0.99,-0.08000000000000089,0.04,-0.05,-0.04
2.0706192,2.4540672,8.3591664,0.5573828125,2.445030212402344e-05,4.34,156.76,173.68,95.37,-0.0700000000000009,-0.99,-0.09,0.04,-0.05,-0.04
2.3006880000000005,2.4540672,8.1290976,0.508212890625,2.884483337402344e-05,4.35,156.83,173.72,95.32,-0.08,-0.99,-0.09,0.04,-0.05,-0.04
2.0706192,2.4540672,8.1290976,0.563505859375,2.701377868652344e-05,4.36,156.92,173.77,95.33,-0.08,-0.99,-0.08,0.04,-0.05,-0.04
2.0706192,2.4540672,8.2824768,0.50283203125,3.067588806152344e-05,4.37,157.06,173.85,95.33,-0.08,-0.99,-0.08,0.04,-0.05,-0.04
1.9172400000000005,2.6074464,8.2824768,0.5662890625,2.371788024902344e-05,4.38,157.21000000000004,173.89,95.35,-0.08,-0.99,-0.08,0.04,-0.05,-0.04
1.9939296,2.4540672,8.205787200000001,0.501904296875,3.3239364624023444e-05,4.39,157.42,173.74,95.39,-0.08,-0.99,-0.08,0.04,-0.05,-0.04
1.9939296,2.4540672,8.1290976,0.568701171875,2.628135681152344e-05,4.4,157.55,173.64,95.39999999999999,-0.08,-0.99,-0.08,0.04,-0.05,-0.04
2.0706192,2.4540672,8.205787200000001,0.49912109375,3.250694274902344e-05,4.41,157.66,173.52,95.31,-0.08,-0.99,-0.08,0.04,-0.05,-0.04
1.9172400000000005,2.5307568,8.435856000000001,0.57296875,1.566123962402344e-05,4.42,157.72,173.44,95.24,-0.08,-0.99,-0.08,0.04,-0.05,-0.04
2.2239984,2.4540672,8.435856000000001,0.4950390624999999,2.994346618652344e-05,4.43,157.75,173.36,95.25,-0.07999999999999911,-0.99,-0.08,0.04,-0.05,-0.04
2.2239984,2.4540672,8.589235200000001,0.573896484375,1.6759872436523442e-05,4.44,157.84000000000003,173.33,95.32000000000002,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
2.3773776,2.4540672,8.435856000000001,0.491513671875,2.811241149902344e-05,4.45,158.13,173.37,95.58000000000001,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
2.3773776,2.4540672,8.2824768,0.57259765625,2.737998962402344e-05,4.46,158.22,173.35,95.67,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
2.1473088,2.3773776,8.205787200000001,0.4928125,2.957725524902344e-05,4.47,158.22,173.28,95.73,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
1.9939296,2.4540672,8.1290976,0.5614648437499999,3.616905212402344e-05,4.48,158.22,173.18,95.67,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
1.9939296,2.5307568,8.1290976,0.5061718749999999,2.774620056152344e-05,4.49,158.22,173.09999999999997,95.62999999999997,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
1.9172400000000005,2.6074464,8.1290976,0.541240234375,2.5182723999023443e-05,4.5,158.2,172.84,95.38,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
2.0706192,2.4540672,8.3591664,0.52955078125,2.884483337402344e-05,4.51,158.22,172.75,95.36,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
2.1473088,2.5307568,8.205787200000001,0.52287109375,2.737998962402344e-05,4.52,158.31,172.76,95.41,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
2.3773776,2.4540672,8.3591664,0.54921875,2.554893493652344e-05,4.53,158.4,172.77,95.4,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
2.3006880000000005,2.4540672,8.3591664,0.507099609375,2.884483337402344e-05,4.54,158.51000000000002,172.83,95.4,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
2.1473088,2.6074464,8.435856000000001,0.5664746093749999,2.335166931152344e-05,4.55,158.78,172.95,95.33,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
2.3006880000000005,2.5307568,8.589235200000001,0.4950390624999999,2.737998962402344e-05,4.56,158.85,172.96,95.25,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
2.3006880000000005,2.4540672,8.589235200000001,0.574267578125,1.6027450561523442e-05,4.57,158.94,173.04,95.16999999999999,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
2.2239984,2.4540672,8.435856000000001,0.491884765625,2.737998962402344e-05,4.58,158.99,173.12,95.07,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
2.3773776,2.6074464,8.435856000000001,0.55923828125,3.030967712402344e-05,4.59,159.06,173.23000000000002,95.02999999999999,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
2.2239984,2.6074464,8.2824768,0.510625,2.664756774902344e-05,4.6,159.19,173.44,94.94,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
2.3773776,2.5307568,8.5125456,0.54216796875,2.701377868652344e-05,4.61,159.23,173.53,94.83,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
2.1473088,2.6074464,8.5125456,0.531591796875,2.774620056152344e-05,4.62,159.32,173.66,94.78,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
2.1473088,2.6074464,8.3591664,0.52138671875,3.104209899902344e-05,4.63,159.43,173.81,94.72999999999999,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
2.3006880000000005,2.4540672,8.5125456,0.55404296875,2.591514587402344e-05,4.64,159.51,173.93,94.62,-0.07,-0.99,-0.08,0.04,-0.05,-0.04
