acc_x,acc_y,acc_z,v_dc,i_dc,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
1.8405504,3.2976528,7.8223392,0.523798828125,4.7258377075195314e-05,7.02,35.35,172.93,118.25,-0.19,-0.98,-0.01,0.01,0.01,-0.09
1.8405504,3.2209632,8.1290976,0.546435546875,4.6525955200195314e-05,7.03,35.500000000000014,172.89,118.27,-0.19,-0.98,-0.01,0.01,0.01,-0.09
1.6871712,3.1442736000000004,8.589235200000001,0.5640624999999999,6.080818176269531e-05,7.04,35.63000000000002,172.84,118.24,-0.19,-0.98,-0.01,0.01,0.01,-0.09
1.7638608000000002,3.5277216000000005,8.3591664,0.54291015625,6.080818176269531e-05,7.05,35.79000000000001,172.82,118.18,-0.19,-0.98,-0.01,0.01,0.01,-0.09
1.9172400000000005,3.2976528,8.5125456,0.51173828125,4.872322082519532e-05,7.06,35.920000000000016,172.86,118.12999999999998,-0.19,-0.98,-0.01,0.01,0.01,-0.09
2.0706192,3.2209632,8.5125456,0.5262109375,4.579353332519531e-05,7.07,36.12,172.9,117.99,-0.19,-0.98,-0.01,0.01,0.01,-0.09
2.0706192,3.1442736000000004,8.6659248,0.5486621093749999,4.579353332519531e-05,7.08,36.19,172.96,117.9,-0.19,-0.98,-0.01,0.01,0.01,-0.09
1.8405504,3.2209632,8.1290976,0.563134765625,4.835700988769532e-05,7.09,36.25,173.01,117.82,-0.19,-0.98,-0.01,0.01,0.01,-0.09
1.9939296,3.2976528,8.205787200000001,0.532890625,5.970954895019531e-05,7.1,36.35,173.1,117.75,-0.18,-0.98,-0.01,0.01,0.01,-0.09
1.6871712,3.1442736000000004,8.2824768,0.5104394531249999,4.432868957519531e-05,7.11,36.45000000000001,173.26000000000002,117.75,-0.18,-0.98,-0.01,0.01,0.01,-0.09
1.9939296,2.9908944,8.205787200000001,0.5347460937499999,4.799079895019532e-05,7.12,36.55000000000001,173.48000000000002,117.74999999999999,-0.18,-0.98,-0.01,0.01,0.01,-0.09
1.8405504,3.2209632,8.2824768,0.55515625,4.799079895019532e-05,7.13,36.70000000000001,173.73,117.62999999999998,-0.18,-0.98,-0.01,0.01,0.01,-0.09
1.8405504,3.1442736000000004,8.589235200000001,0.557939453125,5.494880676269532e-05,7.14,36.75,173.82,117.50999999999999,-0.18,-0.98,-0.01,0.01,0.01,-0.09
1.9172400000000005,2.9142048000000003,8.5125456,0.5098828125,4.176521301269532e-05,7.15,36.78,173.95,117.41,-0.18,-0.98,-0.01,0.01,0.01,-0.09
2.1473088,3.1442736000000004,8.589235200000001,0.5390136718749999,4.6892166137695314e-05,7.16,36.79,174.11,117.32,-0.18,-0.98,-0.01,0.01,0.0,-0.09
1.9939296,3.1442736000000004,8.5125456,0.562392578125,4.799079895019532e-05,7.17,36.67,174.33,117.1,-0.18,-0.98,-0.01,0.01,0.0,-0.09
2.0706192,2.9908944,8.2824768,0.530849609375,6.080818176269531e-05,7.18,36.59,174.45,116.99,-0.18,-0.98,-0.01,0.01,0.0,-0.09
1.9939296,3.2209632,8.5125456,0.510068359375,4.469490051269531e-05,7.19,36.519999999999996,174.56,116.86999999999999,-0.18,-0.98,-0.01,0.01,0.0,-0.09
1.9172400000000005,3.2976528,8.3591664,0.531220703125,4.030036926269532e-05,7.2,36.419999999999995,174.69,116.73999999999998,-0.18,-0.98,-0.01,0.01,0.0,-0.09
1.8405504,3.2209632,8.3591664,0.5544140625,4.432868957519531e-05,7.21,36.349999999999994,174.82,116.64999999999999,-0.18,-0.98,-0.01,0.01,0.0,-0.09
1.9939296,3.3743424,8.052408,0.559609375,5.275154113769531e-05,7.22,36.279999999999994,174.91000000000003,116.54999999999998,-0.18,-0.98,-0.01,0.01,0.0,-0.09
2.0706192,3.067584,8.2824768,0.528994140625,5.751228332519531e-05,7.23,36.18,175.27,116.44,-0.18,-0.98,-0.01,0.01,0.0,-0.09
1.9939296,3.2976528,8.3591664,0.509697265625,4.213142395019531e-05,7.24,36.13,175.53,116.43,-0.17,-0.98,-0.01,0.01,0.0,-0.09
2.0706192,3.2209632,8.205787200000001,0.530849609375,4.359626770019531e-05,7.25,36.1,175.77,116.42,-0.17,-0.98,-0.01,0.01,0.0,-0.09
1.9939296,3.2976528,8.3591664,0.55107421875,4.579353332519531e-05,7.26,36.05,176.03,116.4,-0.17,-0.98,-0.01,0.01,0.0,-0.09
1.9172400000000005,3.3743424,8.052408,0.562763671875,4.908943176269532e-05,7.27,35.99,176.28,116.33,-0.17,-0.98,-0.01,0.01,0.0,-0.09
1.9172400000000005,3.067584,8.052408,0.54513671875,6.593513488769532e-05,7.28,35.839999999999996,176.83000000000004,116.19999999999999,-0.17,-0.9800000000000009,-0.01,0.01,0.0,-0.09
1.6104816,2.9908944,7.9757184,0.5165625,5.238533020019532e-05,7.29,35.769999999999996,177.04000000000002,116.1,-0.17,-0.99,-0.01,0.01,0.0,-0.09
1.9939296,2.9908944,8.052408,0.515634765625,4.359626770019531e-05,7.3,35.699999999999996,177.31000000000003,116.02999999999999,-0.17,-0.99,-0.01,0.01,8.881784197001442e-16,-0.09
1.9939296,3.2209632,8.2824768,0.536044921875,4.762458801269532e-05,7.31,35.63,177.51000000000002,115.94,-0.17,-0.99,-0.01,0.01,0.01,-0.08999999999999911
2.0706192,3.2976528,8.5125456,0.552373046875,4.323005676269531e-05,7.32,35.59,177.74,115.86,-0.17,-0.99,-0.01,0.01,0.01,-0.08
2.1473088,3.2209632,7.9757184,0.5633203124999999,4.872322082519532e-05,7.33,35.43,178.05,115.67,-0.17,-0.99,-0.01,0.01,0.01,-0.08
1.6104816,3.2976528,8.5125456,0.54736328125,6.190681457519531e-05,7.34,35.36,178.22,115.61,-0.17,-0.99,-0.01,0.01,0.01,-0.08
1.6871712,3.2209632,8.1290976,0.51953125,5.641365051269531e-05,7.35,35.32,178.4,115.58,-0.16,-0.99,-0.01,0.01,0.01,-0.08
1.3804128,3.1442736000000004,8.1290976,0.51396484375,4.762458801269532e-05,7.36,35.32,178.64000000000001,115.52,-0.16,-0.99,-0.01,0.01,0.01,-0.08
1.3037232,3.3743424,7.9757184,0.53140625,4.213142395019531e-05,7.37,35.31999999999999,178.88000000000005,115.47,-0.16,-0.99,-0.01,0.01,0.01,-0.08
1.6104816,3.1442736000000004,8.435856000000001,0.5494042968749999,4.799079895019532e-05,7.38,35.27,179.41000000000003,115.4,-0.16,-0.99,-0.01,0.01,0.01,-0.08
1.6871712,3.2209632,8.205787200000001,0.5618359374999999,4.945564270019532e-05,7.39,35.25,179.64000000000001,115.41,-0.16,-0.99,-0.01,0.01,0.01,-0.08
1.8405504,3.2209632,8.2824768,0.554970703125,5.824470520019531e-05,7.4,35.24,179.84,115.41,-0.16,-0.99,-0.01,0.01,0.01,-0.08
1.8405504,3.3743424,8.2824768,0.526025390625,5.824470520019531e-05,7.41,35.23,179.98,115.41,-0.17,-0.99,-0.01,0.01,0.01,-0.08
1.7638608000000002,3.2976528,8.2824768,0.510068359375,4.469490051269531e-05,7.42,35.23,180.06,115.39,-0.17,-0.99,-0.01,0.01,0.01,-0.08
1.6104816,3.2976528,8.1290976,0.5204589843749999,4.6525955200195314e-05,7.43,35.21,180.17,115.33,-0.17,-0.99,-0.01,0.01,0.01,-0.08
1.533792,3.1442736000000004,7.9757184,0.53771484375,4.213142395019531e-05,7.44,35.2,180.21,115.33,-0.17,-0.99,-0.01,0.01,0.01,-0.08
1.533792,3.1442736000000004,7.9757184,0.5514453125,4.396247863769531e-05,7.45,35.2,180.18,115.28,-0.17,-0.99,-0.01,0.01,0.01,-0.08
1.4571024,2.8375152,7.9757184,0.5614648437499999,4.7258377075195314e-05,7.46,35.2,180.15,115.26,-0.17,-0.99,-0.01,0.01,0.01,-0.08000000000000089
1.6871712,3.1442736000000004,8.052408,0.557197265625,5.348396301269531e-05,7.47,35.22,180.12,115.23,-0.17,-0.99,-0.010000000000000888,0.01,0.01,-0.09
1.533792,2.9908944,7.899028800000001,0.53771484375,6.190681457519531e-05,7.48,35.23,180.01,115.16,-0.17,-0.99,-0.02,0.01,0.01,-0.09
1.7638608000000002,3.3743424,8.052408,0.51693359375,5.275154113769531e-05,7.49,35.24,179.93,115.12,-0.17,-0.99,-0.02,0.01,0.01,-0.09
1.533792,3.1442736000000004,8.052408,0.5104394531249999,4.542732238769531e-05,7.5,35.29,179.84,115.1,-0.17,-0.99,-0.02,0.01,0.01,-0.09
1.6104816,3.1442736000000004,8.205787200000001,0.5247265624999999,4.7258377075195314e-05,7.51,35.3,179.71,115.12,-0.17,-0.99,-0.02,0.01,0.01,-0.09
1.6104816,3.2209632,7.9757184,0.53771484375,4.286384582519531e-05,7.52,35.31,179.57,115.14,-0.17,-0.99,-0.02,0.01,0.01,-0.09
1.6104816,3.1442736000000004,7.899028800000001,0.551630859375,4.542732238769531e-05,7.53,35.31,179.20999999999998,115.17,-0.17,-0.99,-0.02,0.01,0.01,-0.09
1.6104816,3.067584,7.7456496,0.56072265625,5.055427551269532e-05,7.54,35.32,179.03999999999996,115.23,-0.17,-0.99,-0.02,0.01,0.01,-0.09
1.3037232,3.067584,7.668960000000001,0.560166015625,5.201911926269532e-05,7.55,35.33,178.87999999999997,115.3,-0.17,-0.99,-0.02,0.01,0.01,-0.09
