acc_x,acc_y,acc_z,v_dc,i_dc,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
1.6104816,2.7608256,8.2824768,0.56072265625,5.277442932128906e-05,7.02,108.79,164.74,117.7,-0.07,-1.0,-0.06,0.03,-0.05,-0.03
1.533792,2.6841360000000005,8.205787200000001,0.5366015624999999,4.911231994628907e-05,7.03,108.81,164.68999999999997,117.71999999999998,-0.07,-1.0,-0.06,0.03,-0.05,-0.03
1.6871712,2.6074464,7.9757184,0.515634765625,6.852149963378906e-05,7.04,108.88,164.52,117.6,-0.07,-1.0,-0.06,0.03,-0.05,-0.03
1.533792,2.4540672,8.205787200000001,0.5614648437499999,5.240821838378907e-05,7.05,108.91,164.48,117.58,-0.07,-1.0,-0.06,0.03,-0.05,-0.03
1.6104816,2.6841360000000005,8.5125456,0.54291015625,4.618263244628906e-05,7.06,108.93,164.42,117.53,-0.07,-1.0,-0.06,0.03,-0.05,-0.030000000000000887
1.8405504,2.6841360000000005,8.205787200000001,0.51359375,5.680274963378906e-05,7.07,108.94,164.36,117.56000000000002,-0.07,-1.0,-0.06,0.03,-0.05,-0.04
1.7638608000000002,2.6841360000000005,8.742614399999999,0.558310546875,5.387306213378906e-05,7.08,108.97,164.31,117.62,-0.07,-1.0,-0.06,0.03,-0.05,-0.04
1.6871712,2.7608256,8.6659248,0.544580078125,4.947853088378907e-05,7.09,108.99,164.12,117.76,-0.07,-1.0,-0.06,0.03,-0.05,-0.04
1.533792,2.7608256,8.5125456,0.51359375,5.277442932128906e-05,7.1,109.02,164.05,117.81,-0.07,-1.0,-0.06,0.03,-0.05,-0.03
1.7638608000000002,2.6841360000000005,8.435856000000001,0.5533007812499999,6.559181213378907e-05,7.11,109.09000000000002,163.99,117.8,-0.07,-1.0,-0.06,0.03,-0.05,-0.04
