acc_x,acc_y,acc_z,v_dc,i_dc,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
1.3804128,2.9142048000000003,8.6659248,0.509697265625,4.0884017944335935e-05,5.02,117.4,191.84,88.42,-0.04,-1.0,-0.03,0.02,0.04,-0.02
1.3037232,2.6074464,8.435856000000001,0.5165625,3.795433044433593e-05,5.03,117.51000000000002,191.83,88.43999999999998,-0.04,-1.0,-0.03,0.02,0.04,-0.02
1.3804128,2.4540672,8.1290976,0.523798828125,3.685569763183593e-05,5.04,117.71,191.82,88.34,-0.04,-1.0,-0.03,0.02,0.04,-0.02
1.2270336,2.5307568,8.435856000000001,0.5306640625,3.9785385131835934e-05,5.05,117.85,191.86,88.34,-0.04,-1.0,-0.03,0.02,0.04,-0.02
1.1503440000000005,2.6074464,8.2824768,0.5354882812499999,3.868675231933593e-05,5.06,117.98,191.88,88.37,-0.04,-1.0,-0.03,0.02,0.04,-0.02
1.2270336,2.6074464,7.9757184,0.54365234375,3.868675231933593e-05,5.07,118.13000000000001,191.9,88.38,-0.04,-1.0,-0.03,0.02,0.04,-0.02
1.3037232,2.9142048000000003,8.205787200000001,0.55181640625,3.575706481933593e-05,5.08,118.25,191.88,88.37,-0.04,-1.0,-0.03,0.02,0.04,-0.02
1.3037232,2.7608256,8.435856000000001,0.558310546875,3.9419174194335934e-05,5.09,118.45,191.8,88.36,-0.04,-1.0,-0.03,0.02,0.04,-0.02
1.3804128,2.6841360000000005,8.5125456,0.563134765625,4.344749450683593e-05,5.1,118.56,191.75,88.39,-0.03,-1.0,-0.03,0.02,0.04,-0.02
1.4571024,2.4540672,8.3591664,0.564619140625,3.9785385131835934e-05,5.11,118.57,191.65,88.41,-0.03,-1.0,-0.03,0.02,0.04,-0.02
1.0736544,2.6074464,8.2824768,0.564248046875,5.0039291381835936e-05,5.12,118.57,191.58,88.41,-0.03,-1.0,-0.03,0.02,0.04,-0.02
1.0736544,2.6841360000000005,8.3591664,0.557197265625,5.992698669433593e-05,5.13,118.57,191.5,88.47,-0.03,-1.0,-0.03,0.02,0.04,-0.02
1.3037232,2.4540672,8.3591664,0.5484765625,5.406761169433593e-05,5.14,118.6,191.41,88.52,-0.03,-1.0,-0.03,0.02,0.04,-0.02
1.2270336,2.5307568,8.5125456,0.5390136718749999,5.223655700683593e-05,5.15,118.65,191.24,88.62,-0.03,-1.0,-0.03,0.02,0.04,-0.01
1.2270336,2.6841360000000005,8.205787200000001,0.529365234375,4.637718200683593e-05,5.16,118.64,191.13,88.67,-0.03,-1.0,-0.03,0.02,0.04,-0.01
1.2270336,2.7608256,8.3591664,0.516748046875,3.722190856933593e-05,5.17,118.62,191.03,88.68,-0.03,-1.0,-0.03,0.02,0.04,-0.01
1.3804128,2.6074464,8.5125456,0.508955078125,4.0884017944335935e-05,5.18,118.62,190.96,88.69,-0.03,-1.0,-0.03,0.02,0.04,-0.01
1.3804128,2.6074464,8.742614399999999,0.5039453125,4.0517807006835935e-05,5.19,118.57999999999998,190.89,88.64,-0.03,-1.0,-0.03,0.019999999999999112,0.04,-0.01
1.0736544,2.5307568,8.589235200000001,0.5072851562499999,3.868675231933593e-05,5.2,118.48,190.73,88.61,-0.03,-1.0,-0.03,0.01,0.04,-0.01
1.1503440000000005,2.5307568,8.5125456,0.514150390625,3.832054138183593e-05,5.21,118.44,190.66,88.62,-0.03,-1.0,-0.03,0.01,0.04,-0.01
1.2270336,2.6074464,8.3591664,0.52361328125,4.0517807006835935e-05,5.22,118.39,190.62,88.67,-0.03,-1.0,-0.03,0.01,0.04,-0.01
0.9969648,2.6074464,8.5125456,0.5343749999999999,4.1250228881835935e-05,5.23,118.34,190.58,88.72,-0.03,-1.0,-0.03,0.01,0.04,-0.01
1.3037232,2.8375152,8.589235200000001,0.541611328125,3.575706481933593e-05,5.24,118.32999999999998,190.55,88.77000000000001,-0.03,-1.0,-0.03,0.01,0.04,-0.01
1.2270336,2.5307568,8.589235200000001,0.5490332031249999,4.0517807006835935e-05,5.25,118.2,190.44,88.86,-0.03,-1.0,-0.03,0.01,0.04,-0.01
1.1503440000000005,2.6841360000000005,8.742614399999999,0.556083984375,4.1250228881835935e-05,5.26,118.16,190.37,88.94,-0.03,-1.0,-0.03,0.02,0.04,-0.01
1.1503440000000005,2.5307568,8.435856000000001,0.560537109375,4.527854919433593e-05,5.27,118.14,190.35,88.99,-0.03,-1.0,-0.03,0.02,0.04,-0.01
0.9969648,2.6841360000000005,8.5125456,0.56517578125,4.161643981933593e-05,5.28,118.08,190.29,89.0,-0.02,-1.0,-0.03,0.02,0.04,-0.01
0.9202752,2.5307568,8.5125456,0.5636914062499999,5.150413513183594e-05,5.29,118.02,190.23,89.0,-0.02,-1.0,-0.03,0.02,0.04,-0.01
1.1503440000000005,2.4540672,8.435856000000001,0.55181640625,5.150413513183594e-05,5.3,117.87,190.13,88.91,-0.02,-1.0,-0.03,0.02,0.04,-0.01
1.0736544,2.4540672,8.5125456,0.540126953125,5.113792419433594e-05,5.31,117.86,190.12,88.87,-0.02,-1.0,-0.03,0.02,0.04,-0.01
1.1503440000000005,2.6841360000000005,8.589235200000001,0.527880859375,4.308128356933593e-05,5.32,117.86,190.1,88.82,-0.02999999999999911,-1.0,-0.03,0.02,0.04,-0.01
1.0736544,2.4540672,8.435856000000001,0.516748046875,4.0151596069335934e-05,5.33,117.85,190.06,88.79,-0.02,-1.0,-0.03,0.02,0.04,-0.01
1.0736544,2.5307568,8.742614399999999,0.5072851562499999,3.868675231933593e-05,5.34,117.85,190.03,88.76,-0.02,-1.0,-0.03,0.02,0.04,-0.01
1.0736544,2.6074464,8.6659248,0.5039453125,3.868675231933593e-05,5.35,117.88,189.95,88.71,-0.02,-1.0,-0.03,0.02,0.04,-0.01
1.1503440000000005,2.6841360000000005,8.435856000000001,0.507470703125,4.161643981933593e-05,5.36,117.88,189.91,88.72,-0.03,-1.0,-0.03,0.02,0.04,-0.01
0.8435856,2.6841360000000005,8.435856000000001,0.513779296875,3.905296325683593e-05,5.37,117.91,189.92,88.75,-0.02999999999999911,-1.0,-0.03,0.02,0.04,-0.01
0.8435856,2.6074464,8.589235200000001,0.5217578125,4.0517807006835935e-05,5.38,117.93,189.92,88.75,-0.02,-1.0,-0.03,0.02,0.04,-0.01
0.9202752,2.6074464,8.2824768,0.533447265625,3.685569763183593e-05,5.39,117.99,189.97,88.75,-0.02,-1.0,-0.03,0.02,0.04,-0.01
0.9969648,2.6841360000000005,8.589235200000001,0.543466796875,3.9419174194335934e-05,5.4,118.0,189.94,88.69,-0.02,-1.0,-0.03,0.02,0.04,-0.01
1.4571024,2.4540672,8.435856000000001,0.5525585937499999,3.905296325683593e-05,5.41,118.01,189.93,88.66,-0.02,-1.0,-0.03,0.02,0.04,-0.01
1.3037232,2.4540672,8.589235200000001,0.559423828125,4.0517807006835935e-05,5.42,118.04,189.99,88.61,-0.02,-1.0,-0.03,0.02,0.04,-0.01
1.1503440000000005,2.6841360000000005,8.819304,0.5640624999999999,4.344749450683593e-05,5.43,118.09,190.06,88.57,-0.02,-1.0,-0.03,0.02,0.04,-0.01
1.0736544,2.9142048000000003,8.5125456,0.56591796875,4.198265075683593e-05,5.44,118.15000000000002,190.15000000000003,88.56,-0.02,-1.0,-0.03,0.02,0.04,-0.01
0.9202752,2.5307568,8.589235200000001,0.5629492187499999,5.150413513183594e-05,5.45,118.31000000000002,190.4,88.6,-0.02,-1.0,-0.03,0.02,0.04,-0.01
0.9202752,2.6841360000000005,8.3591664,0.555341796875,5.187034606933594e-05,5.46,118.41,190.48,88.63,-0.02,-1.0,-0.03,0.02,0.04,-0.01
0.9202752,2.6841360000000005,8.3591664,0.546435546875,5.4800033569335934e-05,5.47,118.52,190.54,88.67,-0.02,-1.0,-0.03,0.02,0.04,-0.01
