acc_x,acc_y,acc_z,v_dc,i_dc,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
1.2270336,2.6074464,8.205787200000001,0.5497753906249999,5.301475524902344e-05,5.02,192.78,188.12,67.25,-0.18,-0.98,0.04,-0.02,0.02,-0.09
1.3804128,2.6841360000000005,7.899028800000001,0.505244140625,3.690147399902343e-05,5.03,192.68,187.89999999999998,67.29,-0.18,-0.98,0.04,-0.02,0.02,-0.09
1.533792,2.6074464,8.5125456,0.5291796875,3.690147399902343e-05,5.04,192.64,187.70999999999998,67.26,-0.18,-0.98,0.04000000000000089,-0.02,0.02,-0.09
1.4571024,2.4540672,8.205787200000001,0.5622070312499999,4.239463806152344e-05,5.05,192.58,187.46999999999997,67.29,-0.18,-0.98,0.05,-0.02,0.02,-0.09
1.3804128,2.6841360000000005,8.3591664,0.537900390625,4.715538024902344e-05,5.06,192.52,187.19,67.3,-0.18,-0.98,0.05,-0.02,0.02,-0.09
1.533792,2.5307568,8.2824768,0.50283203125,3.909873962402344e-05,5.07,192.32,186.66999999999996,67.25,-0.1799999999999991,-0.98,0.05,-0.02,0.02,-0.09
1.4571024,2.6841360000000005,8.5125456,0.541796875,3.836631774902344e-05,5.08,192.22,186.49,67.26,-0.17,-0.98,0.05,-0.02,0.02,-0.09
1.2270336,2.6074464,8.5125456,0.565546875,4.935264587402344e-05,5.09,192.19,186.4,67.28,-0.17,-0.98,0.05,-0.02,0.02,-0.09
1.3037232,2.6841360000000005,8.589235200000001,0.51990234375,3.507041931152344e-05,5.1,192.22,186.39,67.25,-0.17,-0.98,0.05,-0.02,0.02,-0.09
1.2270336,2.6074464,8.2824768,0.513779296875,3.653526306152343e-05,5.11,192.35000000000002,186.36,67.24,-0.17,-0.98,0.049999999999999115,-0.02,0.02,-0.09
1.2270336,2.6841360000000005,8.5125456,0.5499609375,4.569053649902344e-05,5.12,192.63000000000002,186.33,67.16999999999999,-0.17,-0.98,0.04,-0.02,0.02,-0.09
1.3804128,2.6841360000000005,8.205787200000001,0.559423828125,4.752159118652344e-05,5.13,192.80000000000004,186.33,67.09,-0.17,-0.98,0.04,-0.02,0.02,-0.09
1.3037232,2.6074464,8.435856000000001,0.512666015625,3.580284118652344e-05,5.14,192.99,186.32,67.1,-0.17,-0.98,0.04,-0.02,0.02,-0.09
1.3037232,2.6074464,8.205787200000001,0.5217578125,3.800010681152344e-05,5.15,193.18,186.35,67.16000000000001,-0.17,-0.98,0.04,-0.02,0.02,-0.08999999999999911
1.4571024,2.8375152,8.2824768,0.559423828125,4.202842712402344e-05,5.16,193.34,186.36,67.27000000000001,-0.17,-0.98,0.04000000000000089,-0.02,0.02,-0.08
1.533792,2.6074464,8.435856000000001,0.544208984375,5.228233337402344e-05,5.17,193.46,186.38,67.40000000000003,-0.17,-0.98,0.05,-0.02,0.02,-0.08
1.533792,2.5307568,8.435856000000001,0.5024609375,3.690147399902343e-05,5.18,193.43,186.26999999999998,67.78000000000002,-0.17,-0.98,0.05,-0.02,0.02,-0.08
