acc_x,acc_y,acc_z,v_dc,i_dc,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
1.1503440000000005,2.6074464,8.5125456,0.550703125,3.999710083007813e-05,5.02,212.28,170.97,63.16,-0.09,-1.0,-0.01,0.01,0.01,-0.04
1.1503440000000005,2.7608256,8.589235200000001,0.5321484375,3.633499145507813e-05,5.03,212.71000000000004,171.20000000000002,63.21,-0.08,-1.0,-0.01,0.01,0.01,-0.04
1.2270336,2.8375152,8.5125456,0.526953125,3.889846801757813e-05,5.04,212.93,171.41,63.24,-0.08,-1.0,-0.01,0.01,0.01,-0.04
1.0736544,2.9142048000000003,8.3591664,0.56109375,4.951858520507813e-05,5.05,213.1,171.58,63.29,-0.08,-1.0,-0.01,0.01,0.01,-0.04
1.3804128,2.8375152,8.589235200000001,0.503203125,3.999710083007813e-05,5.06,213.22,171.7,63.32,-0.08,-1.0,-0.01,0.01,0.01,-0.04
1.3037232,2.6841360000000005,8.3591664,0.559423828125,4.072952270507813e-05,5.07,213.23,171.69,63.339999999999996,-0.08,-1.0,-0.01,0.0,0.01,-0.04
1.2270336,2.4540672,8.3591664,0.517119140625,4.072952270507813e-05,5.08,213.24,171.61,63.26,-0.08,-1.0,-0.01,0.0,0.01,-0.04
1.0736544,2.6841360000000005,8.3591664,0.5366015624999999,4.036331176757813e-05,5.09,213.31,171.6,63.28,-0.08,-1.0,-0.01,0.0,0.01,-0.04
0.9969648,2.9142048000000003,8.3591664,0.55478515625,4.622268676757813e-05,5.1,213.51,171.6,63.31,-0.08,-1.0,-0.01,0.0,0.01,-0.04
1.1503440000000005,2.9908944,8.1290976,0.504873046875,4.219436645507813e-05,5.11,213.67000000000002,171.58,63.16999999999998,-0.08,-1.0,-0.01,0.0,0.01,-0.04
1.0736544,2.7608256,8.5125456,0.564248046875,4.768753051757813e-05,5.12,213.92,171.58,62.95999999999999,-0.08,-1.0,-0.01,0.0,0.01,-0.04
1.2270336,2.8375152,8.589235200000001,0.5158203125,3.853225708007813e-05,5.13,213.96,171.44,62.82,-0.08,-1.0,-0.01,0.0,0.01,-0.04
1.3037232,2.8375152,8.3591664,0.538828125,4.146194458007813e-05,5.14,214.13,171.36,62.73,-0.08,-1.0,-0.01,0.0,0.0,-0.04
1.3804128,2.8375152,8.2824768,0.5497753906249999,5.3180694580078135e-05,5.15,214.21,171.29,62.62,-0.08,-1.0,-0.01,0.0,0.0,-0.04
1.3037232,2.7608256,8.2824768,0.5104394531249999,3.779983520507813e-05,5.16,214.19,171.19,62.63,-0.08,-1.0,-0.009999999999999112,0.0,0.0,-0.04
1.4571024,2.7608256,8.1290976,0.5648046874999999,4.585647583007813e-05,5.17,214.16,171.1,62.65,-0.08,-1.0,-0.0,0.0,0.0,-0.04
1.1503440000000005,2.7608256,8.205787200000001,0.51248046875,3.816604614257813e-05,5.18,214.34,171.09,62.6,-0.08,-1.0,-0.0,0.0,0.0,-0.04
1.2270336,2.9142048000000003,8.5125456,0.54291015625,4.036331176757813e-05,5.19,214.38,170.96999999999997,62.599999999999994,-0.08,-1.0,0.0,0.0,0.0,-0.04
1.2270336,2.7608256,8.205787200000001,0.544951171875,5.281448364257813e-05,5.2,214.41,170.81,62.50999999999999,-0.07999999999999911,-1.0,0.0,0.0,0.0,-0.04
1.2270336,2.9142048000000003,8.2824768,0.5119238281249999,4.109573364257813e-05,5.21,214.48,170.72,62.39,-0.07,-1.0,-0.0,0.0,0.0,-0.04
1.2270336,2.9142048000000003,8.2824768,0.56591796875,4.622268676757813e-05,5.22,214.54,170.61,62.32,-0.07,-1.0,-0.0,0.0,0.0,-0.04
1.0736544,2.9908944,8.435856000000001,0.51025390625,4.219436645507813e-05,5.23,214.64,170.35,62.14,-0.07,-1.0,0.0,0.0,0.0,-0.04
1.2270336,2.9908944,8.2824768,0.54587890625,4.475784301757813e-05,5.24,214.64,170.28,62.11,-0.07,-1.0,0.0,0.0,0.0,-0.03999999999999911
1.3037232,2.6841360000000005,8.435856000000001,0.5382714843749999,4.475784301757813e-05,5.25,214.67,170.19,62.1,-0.07,-1.0,-0.0,0.0,0.0,-0.03
1.0736544,2.9908944,8.435856000000001,0.5187890625,3.926467895507813e-05,5.26,214.71,170.16,62.16,-0.07,-1.0,-0.0,0.0,0.0,-0.03
1.3804128,2.6841360000000005,8.3591664,0.55701171875,5.061721801757813e-05,5.27,214.8,170.17,62.22,-0.07,-1.0,-0.0,0.0,0.0,-0.03
1.2270336,2.8375152,8.3591664,0.518974609375,3.963088989257813e-05,5.28,214.94000000000003,170.2,62.33000000000002,-0.06,-1.0,0.0,0.0,0.0,-0.03
1.1503440000000005,2.6841360000000005,8.3591664,0.554970703125,5.098342895507813e-05,5.29,215.19,170.21,62.56,-0.06,-1.0,0.0,-0.0,0.0,-0.03
1.0736544,2.6841360000000005,8.1290976,0.506357421875,4.109573364257813e-05,5.3,215.19,170.21,62.61,-0.06,-1.0,0.0,-0.0,0.0,-0.03
1.1503440000000005,2.7608256,8.2824768,0.5629492187499999,4.512405395507813e-05,5.31,215.16,170.14,62.55,-0.06,-1.0,0.0,-0.0,0.0,-0.03
1.3037232,2.8375152,8.435856000000001,0.512294921875,3.853225708007813e-05,5.32,215.09,170.07,62.56,-0.05,-1.0,0.0,0.0,0.0,-0.03
1.3804128,2.8375152,8.2824768,0.544580078125,4.3292999267578126e-05,5.33,215.14,169.91,62.56,-0.05,-1.0,0.0,-0.0,0.0,-0.03
1.4571024,2.6841360000000005,8.205787200000001,0.547177734375,4.732131958007813e-05,5.34,215.36,169.79,62.47,-0.05,-1.0,0.0,-0.0,0.0,-0.03
1.3037232,2.7608256,8.435856000000001,0.5115527343749999,4.292678833007813e-05,5.35,215.5,169.82,62.39,-0.05,-1.0,0.0,-0.0,0.0,-0.03
1.2270336,3.067584,8.205787200000001,0.565732421875,4.072952270507813e-05,5.36,215.54,169.79,62.38,-0.05,-1.0,0.0,0.0,0.0,-0.03
1.1503440000000005,2.7608256,8.3591664,0.506357421875,3.670120239257813e-05,5.37,215.58,169.76,62.35,-0.05,-1.0,0.0,0.0,0.0,-0.03
1.3037232,2.7608256,8.2824768,0.5479199218749999,4.256057739257813e-05,5.38,215.57,169.69,62.39,-0.05,-1.0,0.0,-0.0,0.0,-0.03
1.2270336,2.9142048000000003,8.435856000000001,0.541240234375,4.951858520507813e-05,5.39,215.45,169.42,62.49,-0.05,-1.0,0.0,-0.0,0.0,-0.03
1.1503440000000005,2.9142048000000003,8.3591664,0.5187890625,3.963088989257813e-05,5.4,215.32,169.07999999999998,62.65,-0.05,-1.0,0.0,0.0,0.0,-0.02
1.1503440000000005,2.7608256,8.1290976,0.5664746093749999,4.219436645507813e-05,5.41,215.2,168.71999999999997,62.66,-0.05,-1.0,0.0,0.0,0.0,-0.02
1.2270336,2.8375152,8.205787200000001,0.506728515625,4.072952270507813e-05,5.42,215.14,168.44,62.66,-0.05,-1.0,0.0,-0.0,0.0,-0.02
1.2270336,2.9142048000000003,8.205787200000001,0.5469921875,4.036331176757813e-05,5.43,215.12,168.34,62.68,-0.05,-1.0,0.0,-0.0,0.0,-0.02
1.3037232,2.7608256,8.2824768,0.5343749999999999,4.4025421142578126e-05,5.44,215.11,168.23,62.709999999999994,-0.05,-1.0,0.0,0.0,0.0,-0.02
1.0736544,2.7608256,8.205787200000001,0.524541015625,4.292678833007813e-05,5.45,215.12,168.16,62.65,-0.05,-1.0,0.0,0.0,0.0,-0.02
1.3037232,2.8375152,8.3591664,0.5661035156249999,4.695510864257813e-05,5.46,215.21,168.2,62.66,-0.05,-1.0,0.0,-0.0,0.0,-0.02
1.3037232,2.7608256,8.435856000000001,0.503759765625,4.146194458007813e-05,5.47,215.27,168.19,62.67,-0.05,-1.0,0.0,-0.0,0.0,-0.02
