acc_x,acc_y,acc_z,v_dc,i_dc,time,leap_palm_x,leap_palm_y,leap_palm_z,leap_palm_normal_x,leap_palm_normal_y,leap_palm_normal_z,leap_palm_orientation_x,leap_palm_orientation_y,leap_palm_orientation_z
2.9908944,1.533792,8.435856000000001,0.562763671875,8.113288879394531e-05,6.02,85.58,179.16,67.68,-0.06,-0.99,0.1,-0.05,0.05,-0.03
2.9142048000000003,1.4571024,8.2824768,0.5588671875,8.259773254394531e-05,6.03,85.56,179.13,67.65,-0.06,-0.99,0.1,-0.05,0.05,-0.03
3.067584,1.3804128,8.435856000000001,0.552744140625,8.918952941894532e-05,6.04,85.54,179.12,67.61,-0.06,-0.99,0.1,-0.05,0.05,-0.03
2.7608256,1.533792,8.205787200000001,0.54736328125,8.918952941894532e-05,6.05,85.52,179.14,67.61,-0.06,-0.99,0.1,-0.05,0.05,-0.03
3.067584,1.4571024,8.205787200000001,0.54513671875,8.625984191894532e-05,6.06,85.52,179.14,67.63,-0.06,-0.99,0.1,-0.05,0.05,-0.03
2.9908944,1.4571024,8.205787200000001,0.5501464843749999,8.809089660644532e-05,6.07,85.52,179.15,67.64,-0.06,-0.99,0.11,-0.05,0.05,-0.03
3.067584,1.3804128,8.5125456,0.55849609375,8.296394348144531e-05,6.08,85.51,179.12,67.64,-0.06,-0.99,0.11,-0.05,0.05,-0.03
2.7608256,1.533792,8.205787200000001,0.562763671875,8.003425598144531e-05,6.09,85.49,179.08,67.64,-0.06,-0.99,0.11,-0.05,0.05,-0.03
3.1442736000000004,1.3804128,8.1290976,0.5672167968749999,7.344245910644532e-05,6.1,85.47,179.0,67.66,-0.06,-0.99,0.11,-0.05,0.05,-0.03
3.067584,1.3804128,8.3591664,0.56814453125,6.941413879394531e-05,6.11,85.45,178.93,67.67,-0.06,-0.99,0.11,-0.05,0.05,-0.03
3.067584,1.4571024,8.5125456,0.56740234375,6.868171691894531e-05,6.12,85.45,178.86,67.71,-0.06,-0.99,0.11,-0.05,0.05,-0.03
3.067584,1.3804128,8.2824768,0.564619140625,7.527351379394532e-05,6.13,85.44,178.78,67.76,-0.06,-0.99,0.11,-0.05,0.05,-0.03
2.9908944,1.3804128,8.3591664,0.559609375,8.442878723144531e-05,6.14,85.41,178.71,67.74,-0.06,-0.99,0.11,-0.05,0.05,-0.03
2.9908944,1.533792,8.205787200000001,0.55552734375,8.699226379394532e-05,6.15,85.39,178.68,67.74,-0.06,-0.99,0.11,-0.05,0.05,-0.03
